Aldersgruppe;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt
12-15;671,1;188,9;46,2;46,9;476,9;197,1;30,5;30,4;287,3;70,2;17,7;17,3;279,2;77,2;9,6;10,2;198,4;80,7;9,3;7,7;204,7;64,9;4,9;4,3;172,6;40,9;2,6;2,6;205,6;70,8;11,6;7,4;351,1;119,9;22,4;19,6;476,8;144,2;49,4;32,9;511,9;136,1;74,2;34,2;367,3;135,9;156,9;130,2;269,4;97,6;244,2;0;171,5;96,9;0;0;131,4;114,3;0;0;107,5;142,5;0;0
16-19;648,4;206;124,7;124,4;404,5;110,2;60,3;59,8;232,7;189,9;35,4;35,2;194,2;64,6;31,2;31,5;185,2;57,9;13,9;14,1;137,9;88,3;14,9;15,2;145,2;32,8;6,2;5,4;261,5;46,4;17,5;16,2;300,1;188,8;24,6;24,5;505,4;209,3;34,1;32,4;622,2;196,3;48,1;44,7;681,4;231;65,2;54;647,9;258,2;77,6;48,9;525;312,8;111,3;89,6;378,5;217,8;129;122,9;372,8;271,4;537,8;221,3
20-29;513,6;257;144,3;145;359,9;177,2;89,2;88,7;208,3;114;52,5;52,9;171,2;81,3;33,6;33,7;128,2;65,7;24,5;24,7;111,8;50,1;15,9;15,3;112,9;48,8;19,5;19,4;167,9;104,6;29;30,7;213,8;101,3;36,6;38,1;303;100;40,8;46,5;383,9;115,5;67,5;74,4;492,9;163,5;110,4;109;436,6;182,2;172,1;167,7;394,7;288,1;241;200,4;294,4;293,2;245,9;184,7;360,3;506,8;321,4;270,4
30-39;463,3;313;160;160,5;404,4;219,9;122,2;123;208,8;77,2;63,3;63,6;187,8;156;46,9;46,5;142,6;118;36;35,8;118,3;81,5;31,3;31,8;111,4;80,2;26,3;26,3;178,5;120,6;35;35,8;228;105,1;48,5;51,5;288,7;137,8;61,5;81,1;334,6;107,6;76,6;107,4;304,3;91,1;98;98,4;264,9;90,7;87,8;94,1;182,4;103,1;102,9;108,5;124,4;99,5;65,4;69,1;147,5;167,9;120,9;119,8
40-49;501,9;371,5;204,6;204,5;372,7;258,1;159,6;159,9;254,5;207,1;84,6;84,9;184,3;170,1;60,4;60,6;154,2;143,8;42,7;42,9;128,8;71,2;32,5;32,8;102,6;46;25,2;25,3;145,4;154,7;34,2;34,5;222,9;205,3;55,1;54,9;331,9;204,3;72,9;72,2;309,6;217,4;56;56,6;287,6;170,7;61;54,2;274,9;134,3;47,1;51,1;193,2;85,7;47,3;48,5;103,4;58,1;47,1;47,6;88,7;65,3;59;42,3
50-59;366,5;198,9;154,4;154,5;226,3;280,1;113,3;113,4;127;103,5;54,4;54,3;109,2;58,6;41,8;41,3;140,8;54,8;28,5;28,3;90,8;66,1;21,2;21,1;81,6;59,6;17,3;17,1;131,7;159,6;25,2;24,7;162,4;80,7;38,4;38,3;218,1;215,6;40;39,8;207,2;156,4;38,7;38,3;207,4;173,9;32,7;32,3;192,3;153,8;28,3;28,4;128,7;94,2;24;26,1;76,4;52;18,1;17,4;92,2;45,4;30,4;36,3
60-69;245;243,5;136,7;136,8;144,9;239;99,8;99,9;111,5;136,4;51,5;51,6;91,3;171,5;33,8;33,7;74,5;281,5;22,9;23;67,5;145,8;16;16,1;47,8;99,8;16,8;16,9;94,5;125;20,5;20,5;84;0;26,8;26,9;119,2;100,1;27,5;27,3;105,3;222,5;30,4;30,4;103,6;44,5;23,3;23;64;61,7;19,9;19,8;74;122,1;16,1;15,9;30,4;37,1;11,8;11,7;42,9;29,2;9,6;9,6
70-79;143,5;210,3;138,1;138,2;130,8;204,7;115,5;115,6;29,6;0;49,5;49,3;29,4;90,6;31,9;31,9;35;258;21,3;21,3;40,5;155;23,1;23,1;40,1;72,2;15;15,1;22,7;135;21,1;21,2;50,4;63,2;20,8;20,8;66,1;118,7;26,5;26,6;65,2;0;19,5;19,4;21,4;0;18,1;18;26,5;33,4;12,6;12,4;10,4;0;10,8;10,8;20,4;0;6,8;6,9;19,9;0;6,7;6,5
80+;131,5;121,8;93;93;108,7;235,6;78,5;78,5;108;112,7;33,6;33,6;21,5;327,2;29,5;29,5;42,6;209,6;18,4;18,4;31,5;0;28;28;20,7;0;18;18,1;30,7;0;24,6;24,6;111,2;170,4;25,7;25;89,6;82,8;23,8;23,9;29,5;0;23,4;23,5;68,1;128,9;17,2;17,2;0;0;13,2;13,2;9,5;0;9,1;9,1;18,6;0;11,7;11,7;18,3;0;7,3;7,3
12+;487,1;262,5;146,7;146,9;357,5;204;108;108,2;207,9;112,8;54,9;55;176,5;111,6;39;39,1;142,2;98,2;27,1;27,1;121,9;70;22,4;22,5;111,9;55,4;18,4;18,4;166,2;104;26,1;26,2;226,3;118,6;35,7;35,9;316,6;139,8;42,4;42,5;358,7;129,7;43,7;41,2;360,8;134,3;45,4;37,4;313,1;136;41,3;32,8;242,5;173,3;40,7;29,5;172,6;153,9;30,4;22,5;194,9;209,2;37,1;29,5
