Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  16.430 (49);  17.230 (51);  33.660
10-19;  33.307 (49);  34.251 (51);  67.558
20-29;  40.137 (49);  41.746 (51);  81.883
30-39;  27.808 (50);  27.562 (50);  55.370
40-49;  28.790 (53);  25.889 (47);  54.679
50-59;  24.286 (51);  23.709 (49);  47.995
60-69;  12.392 (49);  12.996 (51);  25.388
70-79;   7.615 (49);   7.769 (51);  15.384
80-89;   4.100 (57);   3.105 (43);   7.205
90+;   1.478 (70);     621 (30);   2.099
I alt; 196.343 (50); 194.878 (50); 391.221
