Aldersgruppe;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt
12-15;4,5;0;0;0;1,5;0;0;0;0;0;0;0;2,8;0;0;0;0;0;0,6;0,7;0;0;0;0;0;0;0;0;1,2;0;0;0;4,6;0;0;0;3,1;1,2;0;0;1,9;0;0;0;3,3;0,8;0;0;1,3;0;0;0;0;1,5;0;0;0,4;0;0;0;0;0;0;0
16-19;3,1;0;1,4;1,4;9,3;0;0,5;0,5;3,1;0;0,5;0,5;6,1;0;0,5;0,5;0;19,6;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;8,1;0;0;0;12,9;0;0,5;0,5;14,7;0;0,5;0;7;3,6;0,6;0,8;4,4;2,1;0;0;2,1;0;0;0;5,8;0;1,4;12;1,8;0;0;0
20-29;12,4;0;0,7;0,8;11,6;6,1;0,2;0,2;5,1;0;0,2;0,2;6,3;0;0,8;0,8;5,6;4,9;0,2;0,2;1,8;0;0,6;0,6;2,4;0;0,4;0,4;11,2;5,7;0,4;0,4;10,3;4,2;0,6;0,5;9,9;1,3;0,2;0,3;18,5;0;0;0;12,5;3,5;0,3;0,6;10,3;1;0;0;8,4;0,9;0,6;1,3;6,7;2,3;1;1,4;4,5;2,7;2,7;2,9
30-39;17,5;7,2;1,6;1,6;12,7;27,9;1,4;1,4;13,4;0;0,8;0,6;9,5;0;0,2;0,2;3,6;5,1;0,4;0,4;5;4,1;0;0;6,3;6,5;0,4;0,2;10,2;2,4;0,4;0,2;20,4;3,3;0,4;0,3;25,1;3;0,5;0,9;18,9;3;0,6;1,5;16,6;2,5;0,5;0;6,5;0,9;0,8;1,1;6,7;1,8;1;1,2;6;1,1;0;0;5,6;1,2;1,2;1,2
40-49;24,1;16,3;2,1;2,1;21,2;15,8;1,8;1,8;18,4;0;1,3;1,3;11,8;0;0,5;0,5;7,8;0;0,2;0,2;5,1;0;0,2;0,2;7,6;9,1;0,5;0,5;26;22,8;0,8;0,8;27,8;11,9;0,5;0,5;22,3;13,2;0,5;0,5;30,6;5,7;1,4;1,4;23;13;0,9;0,7;11,5;3,3;1,9;2,5;13,9;2,9;1;1,8;11,9;0,3;1,2;0;5;0,9;0;0
50-59;26,8;0;2,3;2,3;17,1;0;1,4;1,4;20,8;24,2;1,3;1,3;13,1;22,8;0,6;0,6;13,1;0;0,6;0,6;9,2;0;0,4;0,4;20,1;0;0,1;0,1;16,2;15,5;1,1;1,1;28,4;40,2;0,7;0,7;17,4;22,7;0,7;0,7;30,6;18;0,9;0,9;16,7;12,4;0,7;0,7;16,3;4,6;0,3;0,3;9,5;14,9;0,7;0,7;4,6;0;0;0;14,6;0,6;0,4;0,4
60-69;45,4;0;4,2;4,2;24,3;0;3,1;3,1;20,8;51,1;1,6;1,6;10,3;0;1,5;1,5;17,1;0;1,1;1,1;13,6;40,2;1;1;13,4;36,5;1,1;1,1;26,5;34,6;1,3;1,3;36;30,8;0,8;0,8;32,1;27,6;1,3;1,3;28,5;66,5;2,3;2,1;28;16,2;0,8;0,8;9,2;27,2;0,8;0,8;9;0;0,3;0,3;14,5;0;0,5;0,3;5,7;5,2;0,2;0,2
70-79;49,2;112,9;11,5;11,5;49;0;6,4;6,4;18,3;0;5,9;5,9;18,2;0;1,8;1,8;24;0;2,7;2,7;23,8;0;3,1;3,1;0;77,1;2;2;17,5;72,3;2,6;2,6;28,8;67,1;2,2;2,2;56,7;0;4;4;22,4;0;2,9;2,9;5,5;0;1,8;1,8;16,3;0;1,1;1,1;10,7;0;0,9;0,9;5,2;0;0,4;0,4;5,1;0;1,3;1,1
80+;101,1;0;15,9;15,9;44,6;251,6;22,3;22,3;99,7;120,5;7,2;7,2;11;116,1;8,3;8,3;10,9;111,5;4,1;4,1;21,5;0;9;9;0;0;6,8;6,8;31,4;0;7,5;7,1;93,3;180,7;6,7;6,4;61,3;0;6,4;6,4;30,3;78,4;4,1;4,1;39,9;0;3,4;3,4;0;0;4,9;4,9;0;0;1,9;1,9;9,6;0;3;3;0;0;1,5;1,5
12+;19,1;5,4;4,2;4,2;14,5;13,9;3,4;3,4;12,1;4,9;2;2;8,6;3;1,3;1,3;6,3;5,2;1;1;5;2,1;1,3;1,3;5,6;4,3;1,1;1,1;12,6;6,1;1,5;1,5;18,6;6,2;1,2;1,2;17,9;3,5;1,5;1,7;19,1;2,7;1,6;1,8;14,1;3,8;1,1;1,2;8;1,5;1,2;1,3;6,6;2;0,8;0,9;5,8;1;0,7;0,7;4,4;1,3;0,7;0,8
