Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.770 (48);   9.482 (52);  18.252
10-19;  18.666 (49);  19.680 (51);  38.346
20-29;  23.555 (51);  22.610 (49);  46.165
30-39;  17.431 (51);  16.800 (49);  34.231
40-49;  19.131 (53);  16.990 (47);  36.121
50-59;  17.961 (51);  17.073 (49);  35.034
60-69;   9.214 (49);   9.745 (51);  18.959
70-79;   5.713 (49);   5.861 (51);  11.574
80-89;   3.424 (58);   2.506 (42);   5.930
90+;   1.306 (71);     545 (29);   1.851
I alt; 125.171 (51); 121.292 (49); 246.463
