Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.496 (48);  11.344 (52);  21.840
10-19;  23.737 (49);  25.035 (51);  48.772
20-29;  29.467 (50);  29.782 (50);  59.249
30-39;  20.560 (50);  20.556 (50);  41.116
40-49;  22.532 (52);  20.478 (48);  43.010
50-59;  20.481 (51);  19.995 (49);  40.476
60-69;  10.196 (48);  10.900 (52);  21.096
70-79;   5.989 (49);   6.161 (51);  12.150
80-89;   3.498 (58);   2.566 (42);   6.064
90+;   1.323 (70);     558 (30);   1.881
I alt; 148.279 (50); 147.375 (50); 295.654
