"Vaccinedato","Regionsnavn","Kumulerede antal færdigvacc.","Antal borgere","Vaccinations dækning (%)"
2021-01-04,Hovedstaden,0,1857077,0.00
2021-01-09,Hovedstaden,1,1857077,0.00
2021-01-13,Hovedstaden,2,1857077,0.00
2021-01-15,Hovedstaden,7,1857077,0.00
2021-01-16,Hovedstaden,7,1857077,0.00
2021-01-17,Hovedstaden,45,1857077,0.00
2021-01-18,Hovedstaden,181,1857077,0.01
2021-01-19,Hovedstaden,347,1857077,0.02
2021-01-20,Hovedstaden,472,1857077,0.03
2021-01-21,Hovedstaden,587,1857077,0.03
2021-01-22,Hovedstaden,662,1857077,0.04
2021-01-23,Hovedstaden,4782,1857077,0.26
2021-01-24,Hovedstaden,8779,1857077,0.47
2021-01-25,Hovedstaden,9024,1857077,0.49
2021-01-26,Hovedstaden,9161,1857077,0.49
2021-01-27,Hovedstaden,9793,1857077,0.53
2021-01-28,Hovedstaden,13561,1857077,0.73
2021-01-29,Hovedstaden,21112,1857077,1.14
2021-01-30,Hovedstaden,25712,1857077,1.38
2021-01-31,Hovedstaden,28330,1857077,1.53
2021-02-01,Hovedstaden,30221,1857077,1.63
2021-02-02,Hovedstaden,30333,1857077,1.63
2021-02-03,Hovedstaden,33316,1857077,1.79
2021-02-04,Hovedstaden,39810,1857077,2.14
2021-02-05,Hovedstaden,44693,1857077,2.41
2021-02-06,Hovedstaden,47718,1857077,2.57
2021-02-07,Hovedstaden,48288,1857077,2.60
2021-02-08,Hovedstaden,49424,1857077,2.66
2021-02-09,Hovedstaden,49455,1857077,2.66
2021-02-10,Hovedstaden,50392,1857077,2.71
2021-02-11,Hovedstaden,50632,1857077,2.73
2021-02-12,Hovedstaden,54800,1857077,2.95
2021-02-13,Hovedstaden,54806,1857077,2.95
2021-02-14,Hovedstaden,54817,1857077,2.95
2021-02-15,Hovedstaden,56194,1857077,3.03
2021-02-16,Hovedstaden,56606,1857077,3.05
2021-02-17,Hovedstaden,56638,1857077,3.05
2021-02-18,Hovedstaden,56710,1857077,3.05
2021-02-19,Hovedstaden,56760,1857077,3.06
2021-02-20,Hovedstaden,56860,1857077,3.06
2021-02-21,Hovedstaden,56965,1857077,3.07
2021-02-22,Hovedstaden,57110,1857077,3.08
2021-02-23,Hovedstaden,57262,1857077,3.08
2021-02-24,Hovedstaden,57328,1857077,3.09
2021-02-25,Hovedstaden,57360,1857077,3.09
2021-02-26,Hovedstaden,57421,1857077,3.09
2021-02-27,Hovedstaden,58539,1857077,3.15
2021-02-28,Hovedstaden,59690,1857077,3.21
2021-03-01,Hovedstaden,59910,1857077,3.23
2021-03-02,Hovedstaden,60164,1857077,3.24
2021-03-03,Hovedstaden,60203,1857077,3.24
2021-03-04,Hovedstaden,60398,1857077,3.25
2021-03-05,Hovedstaden,60661,1857077,3.27
2021-03-06,Hovedstaden,60755,1857077,3.27
2021-03-07,Hovedstaden,61076,1857077,3.29
2021-03-08,Hovedstaden,61312,1857077,3.30
2021-03-09,Hovedstaden,62778,1857077,3.38
2021-03-10,Hovedstaden,64477,1857077,3.47
2021-03-11,Hovedstaden,68899,1857077,3.71
2021-03-12,Hovedstaden,73764,1857077,3.97
2021-03-13,Hovedstaden,73847,1857077,3.98
2021-03-14,Hovedstaden,77095,1857077,4.15
2021-03-15,Hovedstaden,79864,1857077,4.30
2021-03-16,Hovedstaden,83411,1857077,4.49
2021-03-17,Hovedstaden,87858,1857077,4.73
2021-03-18,Hovedstaden,92279,1857077,4.97
2021-03-19,Hovedstaden,93450,1857077,5.03
2021-03-20,Hovedstaden,93533,1857077,5.04
2021-03-21,Hovedstaden,95626,1857077,5.15
2021-03-22,Hovedstaden,95710,1857077,5.15
2021-03-23,Hovedstaden,95812,1857077,5.16
2021-03-24,Hovedstaden,104439,1857077,5.62
2021-03-25,Hovedstaden,108994,1857077,5.87
2021-03-26,Hovedstaden,111694,1857077,6.01
2021-03-27,Hovedstaden,111735,1857077,6.02
2021-03-28,Hovedstaden,111768,1857077,6.02
2021-03-29,Hovedstaden,112330,1857077,6.05
2021-03-30,Hovedstaden,112611,1857077,6.06
2021-03-31,Hovedstaden,116425,1857077,6.27
2021-04-01,Hovedstaden,121156,1857077,6.52
2021-04-02,Hovedstaden,124893,1857077,6.73
2021-04-03,Hovedstaden,124981,1857077,6.73
2021-04-04,Hovedstaden,125021,1857077,6.73
2021-04-05,Hovedstaden,125056,1857077,6.73
2021-04-06,Hovedstaden,125241,1857077,6.74
2021-04-07,Hovedstaden,125824,1857077,6.78
2021-04-08,Hovedstaden,127504,1857077,6.87
2021-04-09,Hovedstaden,130926,1857077,7.05
2021-04-10,Hovedstaden,132225,1857077,7.12
2021-04-11,Hovedstaden,132357,1857077,7.13
2021-04-12,Hovedstaden,139247,1857077,7.50
2021-04-13,Hovedstaden,140322,1857077,7.56
2021-04-14,Hovedstaden,144881,1857077,7.80
2021-04-15,Hovedstaden,146448,1857077,7.89
2021-04-16,Hovedstaden,149490,1857077,8.05
2021-04-17,Hovedstaden,149690,1857077,8.06
2021-04-18,Hovedstaden,149870,1857077,8.07
2021-04-19,Hovedstaden,151928,1857077,8.18
2021-04-20,Hovedstaden,156950,1857077,8.45
2021-04-21,Hovedstaden,160720,1857077,8.65
2021-04-22,Hovedstaden,160854,1857077,8.66
2021-04-23,Hovedstaden,167828,1857077,9.04
2021-04-24,Hovedstaden,169823,1857077,9.14
2021-04-25,Hovedstaden,170138,1857077,9.16
2021-04-26,Hovedstaden,173301,1857077,9.33
2021-04-27,Hovedstaden,183025,1857077,9.86
2021-04-28,Hovedstaden,191234,1857077,10.3
2021-04-29,Hovedstaden,198461,1857077,10.7
2021-04-30,Hovedstaden,198671,1857077,10.7
2021-05-01,Hovedstaden,199137,1857077,10.7
2021-05-02,Hovedstaden,207742,1857077,11.2
2021-05-03,Hovedstaden,215714,1857077,11.6
2021-05-04,Hovedstaden,224368,1857077,12.1
2021-05-05,Hovedstaden,236387,1857077,12.7
2021-05-06,Hovedstaden,246408,1857077,13.3
2021-05-07,Hovedstaden,253955,1857077,13.7
2021-05-08,Hovedstaden,273670,1857077,14.7
2021-05-09,Hovedstaden,281835,1857077,15.2
2021-05-10,Hovedstaden,287379,1857077,15.5
2021-05-11,Hovedstaden,293549,1857077,15.8
2021-05-12,Hovedstaden,299133,1857077,16.1
2021-05-13,Hovedstaden,309756,1857077,16.7
2021-05-14,Hovedstaden,317535,1857077,17.1
2021-05-15,Hovedstaden,324406,1857077,17.5
2021-05-16,Hovedstaden,327856,1857077,17.7
2021-05-17,Hovedstaden,334998,1857077,18.0
2021-05-18,Hovedstaden,343925,1857077,18.5
2021-05-19,Hovedstaden,346668,1857077,18.7
2021-05-20,Hovedstaden,352533,1857077,19.0
2021-05-21,Hovedstaden,359433,1857077,19.4
2021-05-22,Hovedstaden,362427,1857077,19.5
2021-05-23,Hovedstaden,363667,1857077,19.6
2021-05-24,Hovedstaden,364642,1857077,19.6
2021-05-25,Hovedstaden,366904,1857077,19.8
2021-05-26,Hovedstaden,369700,1857077,19.9
2021-05-27,Hovedstaden,372719,1857077,20.1
2021-05-28,Hovedstaden,374338,1857077,20.2
2021-05-29,Hovedstaden,376109,1857077,20.3
2021-05-30,Hovedstaden,380283,1857077,20.5
2021-05-31,Hovedstaden,388992,1857077,20.9
2021-06-01,Hovedstaden,395854,1857077,21.3
2021-06-02,Hovedstaden,402697,1857077,21.7
2021-06-03,Hovedstaden,413970,1857077,22.3
2021-06-04,Hovedstaden,416677,1857077,22.4
2021-06-05,Hovedstaden,417863,1857077,22.5
2021-06-06,Hovedstaden,426633,1857077,23.0
2021-01-04,Midtjylland,0,1334884,0.00
2021-01-09,Midtjylland,0,1334884,0.00
2021-01-13,Midtjylland,0,1334884,0.00
2021-01-15,Midtjylland,0,1334884,0.00
2021-01-16,Midtjylland,7,1334884,0.00
2021-01-17,Midtjylland,9,1334884,0.00
2021-01-18,Midtjylland,174,1334884,0.01
2021-01-19,Midtjylland,183,1334884,0.01
2021-01-20,Midtjylland,282,1334884,0.02
2021-01-21,Midtjylland,859,1334884,0.06
2021-01-22,Midtjylland,2038,1334884,0.15
2021-01-23,Midtjylland,3072,1334884,0.23
2021-01-24,Midtjylland,4364,1334884,0.33
2021-01-25,Midtjylland,4528,1334884,0.34
2021-01-26,Midtjylland,4573,1334884,0.34
2021-01-27,Midtjylland,5693,1334884,0.43
2021-01-28,Midtjylland,7470,1334884,0.56
2021-01-29,Midtjylland,11261,1334884,0.84
2021-01-30,Midtjylland,13853,1334884,1.04
2021-01-31,Midtjylland,19948,1334884,1.49
2021-02-01,Midtjylland,21433,1334884,1.61
2021-02-02,Midtjylland,22434,1334884,1.68
2021-02-03,Midtjylland,23816,1334884,1.78
2021-02-04,Midtjylland,25582,1334884,1.92
2021-02-05,Midtjylland,27978,1334884,2.10
2021-02-06,Midtjylland,28464,1334884,2.13
2021-02-07,Midtjylland,28539,1334884,2.14
2021-02-08,Midtjylland,31197,1334884,2.34
2021-02-09,Midtjylland,33814,1334884,2.53
2021-02-10,Midtjylland,35698,1334884,2.67
2021-02-11,Midtjylland,37287,1334884,2.79
2021-02-12,Midtjylland,38295,1334884,2.87
2021-02-13,Midtjylland,38332,1334884,2.87
2021-02-14,Midtjylland,38359,1334884,2.87
2021-02-15,Midtjylland,38827,1334884,2.91
2021-02-16,Midtjylland,39059,1334884,2.93
2021-02-17,Midtjylland,39176,1334884,2.93
2021-02-18,Midtjylland,39246,1334884,2.94
2021-02-19,Midtjylland,39356,1334884,2.95
2021-02-20,Midtjylland,39359,1334884,2.95
2021-02-21,Midtjylland,39402,1334884,2.95
2021-02-22,Midtjylland,39766,1334884,2.98
2021-02-23,Midtjylland,40041,1334884,3.00
2021-02-24,Midtjylland,40264,1334884,3.02
2021-02-25,Midtjylland,40422,1334884,3.03
2021-02-26,Midtjylland,40812,1334884,3.06
2021-02-27,Midtjylland,40815,1334884,3.06
2021-02-28,Midtjylland,40817,1334884,3.06
2021-03-01,Midtjylland,40964,1334884,3.07
2021-03-02,Midtjylland,41144,1334884,3.08
2021-03-03,Midtjylland,41361,1334884,3.10
2021-03-04,Midtjylland,41978,1334884,3.14
2021-03-05,Midtjylland,44606,1334884,3.34
2021-03-06,Midtjylland,46145,1334884,3.46
2021-03-07,Midtjylland,47265,1334884,3.54
2021-03-08,Midtjylland,50708,1334884,3.80
2021-03-09,Midtjylland,53493,1334884,4.01
2021-03-10,Midtjylland,55261,1334884,4.14
2021-03-11,Midtjylland,56531,1334884,4.23
2021-03-12,Midtjylland,57543,1334884,4.31
2021-03-13,Midtjylland,58130,1334884,4.35
2021-03-14,Midtjylland,58339,1334884,4.37
2021-03-15,Midtjylland,61144,1334884,4.58
2021-03-16,Midtjylland,64687,1334884,4.85
2021-03-17,Midtjylland,67528,1334884,5.06
2021-03-18,Midtjylland,68692,1334884,5.15
2021-03-19,Midtjylland,71769,1334884,5.38
2021-03-20,Midtjylland,71791,1334884,5.38
2021-03-21,Midtjylland,71804,1334884,5.38
2021-03-22,Midtjylland,74584,1334884,5.59
2021-03-23,Midtjylland,77976,1334884,5.84
2021-03-24,Midtjylland,79717,1334884,5.97
2021-03-25,Midtjylland,81458,1334884,6.10
2021-03-26,Midtjylland,82870,1334884,6.21
2021-03-27,Midtjylland,83046,1334884,6.22
2021-03-28,Midtjylland,83208,1334884,6.23
2021-03-29,Midtjylland,85652,1334884,6.42
2021-03-30,Midtjylland,88627,1334884,6.64
2021-03-31,Midtjylland,90300,1334884,6.76
2021-04-01,Midtjylland,90679,1334884,6.79
2021-04-02,Midtjylland,91012,1334884,6.82
2021-04-03,Midtjylland,91054,1334884,6.82
2021-04-04,Midtjylland,91110,1334884,6.83
2021-04-05,Midtjylland,91260,1334884,6.84
2021-04-06,Midtjylland,93266,1334884,6.99
2021-04-07,Midtjylland,97139,1334884,7.28
2021-04-08,Midtjylland,99594,1334884,7.46
2021-04-09,Midtjylland,100899,1334884,7.56
2021-04-10,Midtjylland,101634,1334884,7.61
2021-04-11,Midtjylland,102421,1334884,7.67
2021-04-12,Midtjylland,104315,1334884,7.81
2021-04-13,Midtjylland,106064,1334884,7.95
2021-04-14,Midtjylland,108467,1334884,8.13
2021-04-15,Midtjylland,111543,1334884,8.36
2021-04-16,Midtjylland,112994,1334884,8.46
2021-04-17,Midtjylland,113036,1334884,8.47
2021-04-18,Midtjylland,113068,1334884,8.47
2021-04-19,Midtjylland,117935,1334884,8.83
2021-04-20,Midtjylland,122476,1334884,9.18
2021-04-21,Midtjylland,128191,1334884,9.60
2021-04-22,Midtjylland,130848,1334884,9.80
2021-04-23,Midtjylland,132767,1334884,9.95
2021-04-24,Midtjylland,132836,1334884,9.95
2021-04-25,Midtjylland,132864,1334884,9.95
2021-04-26,Midtjylland,133698,1334884,10.0
2021-04-27,Midtjylland,137474,1334884,10.3
2021-04-28,Midtjylland,143339,1334884,10.7
2021-04-29,Midtjylland,148833,1334884,11.1
2021-04-30,Midtjylland,149486,1334884,11.2
2021-05-01,Midtjylland,149558,1334884,11.2
2021-05-02,Midtjylland,149590,1334884,11.2
2021-05-03,Midtjylland,158449,1334884,11.9
2021-05-04,Midtjylland,166828,1334884,12.5
2021-05-05,Midtjylland,175706,1334884,13.2
2021-05-06,Midtjylland,183255,1334884,13.7
2021-05-07,Midtjylland,189205,1334884,14.2
2021-05-08,Midtjylland,189439,1334884,14.2
2021-05-09,Midtjylland,189518,1334884,14.2
2021-05-10,Midtjylland,196585,1334884,14.7
2021-05-11,Midtjylland,204182,1334884,15.3
2021-05-12,Midtjylland,213524,1334884,16.0
2021-05-13,Midtjylland,216191,1334884,16.2
2021-05-14,Midtjylland,225284,1334884,16.9
2021-05-15,Midtjylland,225603,1334884,16.9
2021-05-16,Midtjylland,225840,1334884,16.9
2021-05-17,Midtjylland,235954,1334884,17.7
2021-05-18,Midtjylland,243768,1334884,18.3
2021-05-19,Midtjylland,250660,1334884,18.8
2021-05-20,Midtjylland,257773,1334884,19.3
2021-05-21,Midtjylland,260968,1334884,19.5
2021-05-22,Midtjylland,261080,1334884,19.6
2021-05-23,Midtjylland,261383,1334884,19.6
2021-05-24,Midtjylland,262552,1334884,19.7
2021-05-25,Midtjylland,265998,1334884,19.9
2021-05-26,Midtjylland,268982,1334884,20.2
2021-05-27,Midtjylland,271562,1334884,20.3
2021-05-28,Midtjylland,273428,1334884,20.5
2021-05-29,Midtjylland,273513,1334884,20.5
2021-05-30,Midtjylland,273595,1334884,20.5
2021-05-31,Midtjylland,279256,1334884,20.9
2021-06-01,Midtjylland,282544,1334884,21.2
2021-06-02,Midtjylland,287591,1334884,21.5
2021-06-03,Midtjylland,294073,1334884,22.0
2021-06-04,Midtjylland,297999,1334884,22.3
2021-06-05,Midtjylland,298388,1334884,22.4
2021-06-06,Midtjylland,298962,1334884,22.4
2021-01-04,NA,0,0,0.00
2021-01-09,NA,0,0,0.00
2021-01-13,NA,0,0,0.00
2021-01-15,NA,0,0,0.00
2021-01-16,NA,0,0,0.00
2021-01-17,NA,0,0,0.00
2021-01-18,NA,0,0,0.00
2021-01-19,NA,0,0,0.00
2021-01-20,NA,0,0,0.00
2021-01-21,NA,0,0,0.00
2021-01-22,NA,0,0,0.00
2021-01-23,NA,0,0,0.00
2021-01-24,NA,0,0,0.00
2021-01-25,NA,0,0,0.00
2021-01-26,NA,0,0,0.00
2021-01-27,NA,0,0,0.00
2021-01-28,NA,0,0,0.00
2021-01-29,NA,0,0,0.00
2021-01-30,NA,0,0,0.00
2021-01-31,NA,0,0,0.00
2021-02-01,NA,0,0,0.00
2021-02-02,NA,0,0,0.00
2021-02-03,NA,0,0,0.00
2021-02-04,NA,0,0,0.00
2021-02-05,NA,0,0,0.00
2021-02-06,NA,0,0,0.00
2021-02-07,NA,0,0,0.00
2021-02-08,NA,0,0,0.00
2021-02-09,NA,0,0,0.00
2021-02-10,NA,0,0,0.00
2021-02-11,NA,0,0,0.00
2021-02-12,NA,0,0,0.00
2021-02-13,NA,0,0,0.00
2021-02-14,NA,0,0,0.00
2021-02-15,NA,0,0,0.00
2021-02-16,NA,0,0,0.00
2021-02-17,NA,0,0,0.00
2021-02-18,NA,0,0,0.00
2021-02-19,NA,0,0,0.00
2021-02-20,NA,0,0,0.00
2021-02-21,NA,0,0,0.00
2021-02-22,NA,0,0,0.00
2021-02-23,NA,0,0,0.00
2021-02-24,NA,0,0,0.00
2021-02-25,NA,0,0,0.00
2021-02-26,NA,0,0,0.00
2021-02-27,NA,0,0,0.00
2021-02-28,NA,0,0,0.00
2021-03-01,NA,0,0,0.00
2021-03-02,NA,0,0,0.00
2021-03-03,NA,0,0,0.00
2021-03-04,NA,0,0,0.00
2021-03-05,NA,0,0,0.00
2021-03-06,NA,0,0,0.00
2021-03-07,NA,0,0,0.00
2021-03-08,NA,0,0,0.00
2021-03-09,NA,0,0,0.00
2021-03-10,NA,0,0,0.00
2021-03-11,NA,0,0,0.00
2021-03-12,NA,0,0,0.00
2021-03-13,NA,0,0,0.00
2021-03-14,NA,0,0,0.00
2021-03-15,NA,0,0,0.00
2021-03-16,NA,0,0,0.00
2021-03-17,NA,0,0,0.00
2021-03-18,NA,0,0,0.00
2021-03-19,NA,0,0,0.00
2021-03-20,NA,0,0,0.00
2021-03-21,NA,0,0,0.00
