Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.237 (48);  11.073 (52);  21.310
10-19;  22.865 (49);  24.174 (51);  47.039
20-29;  28.097 (50);  28.129 (50);  56.226
30-39;  19.976 (50);  19.785 (50);  39.761
40-49;  22.015 (53);  19.907 (47);  41.922
50-59;  20.163 (51);  19.617 (49);  39.780
60-69;  10.102 (48);  10.801 (52);  20.903
70-79;   5.960 (49);   6.130 (51);  12.090
80-89;   3.488 (58);   2.554 (42);   6.042
90+;   1.321 (70);     554 (30);   1.875
I alt; 144.224 (50); 142.724 (50); 286.948
