Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   6.934 (48);   7.491 (52);  14.425
10-19;  15.921 (49);  16.613 (51);  32.534
20-29;  20.467 (51);  19.329 (49);  39.796
30-39;  14.899 (51);  14.142 (49);  29.041
40-49;  16.667 (54);  14.393 (46);  31.060
50-59;  15.903 (52);  14.667 (48);  30.570
60-69;   8.238 (49);   8.605 (51);  16.843
70-79;   5.194 (49);   5.342 (51);  10.536
80-89;   3.253 (58);   2.375 (42);   5.628
90+;   1.269 (71);     522 (29);   1.791
I alt; 108.745 (51); 103.479 (49); 212.224
