Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   7.137 (48);   7.764 (52);  14.901
10-19;  16.196 (49);  16.892 (51);  33.088
20-29;  20.778 (51);  19.628 (49);  40.406
30-39;  15.183 (51);  14.401 (49);  29.584
40-49;  16.921 (54);  14.634 (46);  31.555
50-59;  16.137 (52);  14.906 (48);  31.043
60-69;   8.348 (49);   8.733 (51);  17.081
70-79;   5.247 (49);   5.404 (51);  10.651
80-89;   3.284 (58);   2.395 (42);   5.679
90+;   1.276 (71);     527 (29);   1.803
I alt; 110.507 (51); 105.284 (49); 215.791
