Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.199 (48);   9.928 (52);  19.127
10-19;  19.570 (49);  20.634 (51);  40.204
20-29;  24.527 (51);  23.741 (49);  48.268
30-39;  18.126 (51);  17.586 (49);  35.712
40-49;  19.875 (53);  17.759 (47);  37.634
50-59;  18.551 (51);  17.776 (49);  36.327
60-69;   9.507 (49);  10.093 (51);  19.600
70-79;   5.818 (49);   5.963 (51);  11.781
80-89;   3.449 (58);   2.523 (42);   5.972
90+;   1.310 (71);     547 (29);   1.857
I alt; 129.932 (51); 126.550 (49); 256.482
