Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     122 (53);     109 (47);     231
10-19;     260 (55);     217 (45);     477
20-29;     921 (62);     561 (38);   1.482
30-39;     956 (62);     597 (38);   1.553
40-49;   1.174 (60);     775 (40);   1.949
50-59;   1.206 (60);     806 (40);   2.012
60-69;     637 (50);     649 (50);   1.286
70-79;     426 (45);     515 (55);     941
80-89;     430 (57);     325 (43);     755
90+;     175 (73);      66 (27);     241
I alt;   6.307 (58);   4.620 (42);  10.927
