Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     581 (49);     602 (51);   1.183
10-19;   1.688 (50);   1.716 (50);   3.404
20-29;   2.945 (53);   2.642 (47);   5.587
30-39;   2.162 (53);   1.899 (47);   4.061
40-49;   2.514 (55);   2.024 (45);   4.538
50-59;   2.418 (54);   2.082 (46);   4.500
60-69;   1.241 (48);   1.332 (52);   2.573
70-79;     797 (47);     907 (53);   1.704
80-89;     601 (57);     458 (43);   1.059
90+;     231 (72);      92 (28);     323
I alt;  15.178 (52);  13.754 (48);  28.932
