Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  33.172 (49);  35.038 (51);  68.210
10-19;  52.160 (50);  52.586 (50); 104.746
20-29;  55.159 (50);  56.054 (50); 111.213
30-39;  42.828 (51);  40.739 (49);  83.567
40-49;  45.091 (52);  41.611 (48);  86.702
50-59;  35.338 (50);  35.862 (50);  71.200
60-69;  19.112 (49);  19.981 (51);  39.093
70-79;  11.839 (49);  12.084 (51);  23.923
80-89;   5.194 (55);   4.186 (45);   9.380
90+;   1.680 (69);     754 (31);   2.434
I alt; 301.573 (50); 298.895 (50); 600.468
