Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   3.178 (49);   3.370 (51);   6.548
10-19;   9.558 (48);  10.255 (52);  19.813
20-29;  11.505 (50);  11.417 (50);  22.922
30-39;   7.941 (50);   7.826 (50);  15.767
40-49;   9.147 (53);   8.269 (47);  17.416
50-59;   8.489 (51);   8.203 (49);  16.692
60-69;   4.146 (48);   4.491 (52);   8.637
70-79;   2.531 (49);   2.631 (51);   5.162
80-89;   1.361 (56);   1.064 (44);   2.425
90+;     503 (71);     202 (29);     705
I alt;  58.359 (50);  57.728 (50); 116.087
