Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.189 (49);   2.323 (51);   4.512
10-19;   6.370 (48);   6.895 (52);  13.265
20-29;   7.897 (50);   7.933 (50);  15.830
30-39;   5.613 (50);   5.584 (50);  11.197
40-49;   6.487 (52);   5.927 (48);  12.414
50-59;   6.100 (51);   5.932 (49);  12.032
60-69;   3.011 (47);   3.354 (53);   6.365
70-79;   1.879 (48);   2.026 (52);   3.905
80-89;   1.058 (56);     835 (44);   1.893
90+;     380 (71);     156 (29);     536
I alt;  40.984 (50);  40.965 (50);  81.949
