"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16926,8
AstraZeneca Covid-19 vaccine,Midtjylland,33801,91
AstraZeneca Covid-19 vaccine,Syddanmark,30636,389
AstraZeneca Covid-19 vaccine,Hovedstaden,45611,331
AstraZeneca Covid-19 vaccine,Sjælland,23916,346
Janssen COVID-19 vaccine,Nordjylland,2432,2432
Janssen COVID-19 vaccine,Midtjylland,5767,5767
Janssen COVID-19 vaccine,Syddanmark,4247,4247
Janssen COVID-19 vaccine,Hovedstaden,16142,16142
Janssen COVID-19 vaccine,Sjælland,2010,2010
Moderna Covid-19 Vaccine,Nordjylland,29598,10255
Moderna Covid-19 Vaccine,Midtjylland,40332,22943
Moderna Covid-19 Vaccine,Syddanmark,43103,49746
Moderna Covid-19 Vaccine,Hovedstaden,36608,33935
Moderna Covid-19 Vaccine,Sjælland,47532,42319
Pfizer BioNTech Covid-19 vacc,Nordjylland,220328,145456
Pfizer BioNTech Covid-19 vacc,Midtjylland,515633,302208
Pfizer BioNTech Covid-19 vacc,Syddanmark,489333,263581
Pfizer BioNTech Covid-19 vacc,Hovedstaden,764059,413930
Pfizer BioNTech Covid-19 vacc,Sjælland,357545,185652
