Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.285 (48);  11.126 (52);  21.411
10-19;  23.054 (49);  24.398 (51);  47.452
20-29;  28.365 (50);  28.390 (50);  56.755
30-39;  20.077 (50);  19.908 (50);  39.985
40-49;  22.131 (52);  20.035 (48);  42.166
50-59;  20.255 (51);  19.710 (49);  39.965
60-69;  10.122 (48);  10.825 (52);  20.947
70-79;   5.965 (49);   6.136 (51);  12.101
80-89;   3.490 (58);   2.555 (42);   6.045
90+;   1.321 (70);     556 (30);   1.877
I alt; 145.065 (50); 143.639 (50); 288.704
