Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 07-2022;1033368;89314;4755895;1176631;3567236;766890;53986;3964323;810367;3148231;25509;1669;198644;39227;159193;62583;4947;572461;98445;472964;51049;3652;523585;81964;440868;73936;5832;699620;117972;580344;3356;253;9220;3372;5816;538;35;2111;397;1712
Uge 06-2022;1033703;94129;4751441;1221498;3508733;807397;63223;4074660;900259;3162071;43877;3291;250219;68331;181099;101005;8638;735502;160754;571594;84535;6741;675015;138238;534366;120045;10205;910138;192865;713400;5496;380;12101;5024;7005;627;45;2008;503;1498
Uge 05-2022;1034512;100465;4745141;1326527;3382671;833958;71654;4170407;1041875;3103711;51735;4426;223651;80410;141267;119745;11193;751122;196675;547707;103255;9164;694915;175117;514055;144685;13528;945490;241091;695890;5618;389;9926;4532;5269;599;43;1639;461;1165
Uge 04-2022;1036751;113495;4730741;1493366;3177483;854787;84774;4247386;1234083;2965203;58925;6731;214941;95674;115418;158858;18774;878095;283612;579152;136477;15704;811746;254283;543858;193974;22871;1105817;349755;736720;7004;477;10113;5577;4374;528;35;1305;492;796
Uge 03-2022;1042299;131498;4707740;1692468;2906036;872299;102712;4287873;1450001;2743124;62959;9073;194941;102490;84931;192292;28820;976946;367738;574370;166220;24844;903280;331616;540017;246637;37314;1277189;472925;757247;7906;500;9693;6144;3318;518;44;1020;461;545
Uge 02-2022;1052329;164834;4664946;1950506;2600698;897549;136893;4298751;1726118;2471312;43899;7754;119894;71661;42251;168801;33238;846726;364019;453599;147427;29552;784318;330591;426969;218787;43085;1096638;465535;592804;5265;360;6198;4351;1693;437;49;815;392;416
Uge 01-2022;1071060;224199;4587752;2351128;2175099;928276;194781;4256232;2124988;2076773;26709;5330;94622;66798;26194;136954;37927;834238;443438;379258;117925;33536;771911;403734;357889;175918;48625;1070486;564331;491277;3757;357;5893;4765;1047;347;38;737;403;327
Uge 52-2021;1093266;248776;4542595;3154218;1348619;960444;219915;4233633;2905876;1295287;21909;5412;92011;70605;20492;113809;37059;762600;525897;230812;100100;33358;709654;486850;218041;140914;45827;936761;640666;288895;2453;233;4380;3658;669;356;44;744;462;276
Uge 51-2021;1124798;236550;4523991;3466436;1013754;1000143;209456;4233586;3222440;976148;14222;3622;58529;52380;5692;148024;49561;865716;660574;197563;133771;45060;806886;614463;186510;177263;58589;1033286;781689;242669;1027;122;2398;2157;206;316;28;490;357;124
Uge 50-2021;1207173;177434;4501895;3640173;819546;1086350;154567;4230579;3407232;789158;18869;4271;50062;46545;3191;219009;46592;920872;746338;166513;200386;41846;861405;697859;157121;292127;64275;1167385;940006;217110;747;90;1777;1645;102;282;26;474;369;102
Uge 49-2021;1278233;130147;4478632;3821456;626202;1161437;108971;4223589;3596214;601639;17991;2282;27363;25816;1353;233661;26500;845208;710174;129901;214960;22853;794676;667836;122557;316095;35706;1052283;879656;166076;344;42;430;390;39;241;17;412;350;61
Uge 48-2021;1318137;109870;4460034;3947914;490501;1203992;89869;4216046;3727901;470192;14769;929;18533;17768;686;227233;18467;786379;682008;101268;208858;15195;741170;643231;95362;303233;23673;949567;820052;125691;230;22;125;113;11;222;16;375;320;53
Uge 47-2021;1337323;102415;4448764;4030371;398404;1224562;84067;4213173;3814756;381850;12789;714;15314;14784;459;224684;16750;764790;679731;82208;207245;13912;722620;642806;77401;292934;20834;916821;811784;101576;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1360560;89232;4439020;4096718;325344;1246398;73974;4209541;3883397;312083;12507;699;14750;14295;396;218196;14319;712772;648794;61721;201216;12115;674412;614183;58306;283074;17633;853733;775428;75537;201;7;84;80;3;211;8;329;296;33
Uge 45-2021;1386507;72701;4429986;4169594;244708;1270250;60300;4204476;3956600;234851;10453;432;11717;11488;196;203286;10539;670170;626650;41477;187769;9081;634484;593583;39147;259737;12715;797480;745264;49718;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1397794;68316;4423398;4246009;160881;1281806;56496;4200809;4032555;154457;7597;250;8025;7892;108;149848;7103;527757;505869;20083;139156;6123;499806;479409;18863;193324;8559;630102;604357;23541;130;5;39;36;3;159;9;206;192;11
