Aldersgruppe;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld effekt efter primært forløb;Uge 44-2021_Fuld effekt efter revaccination;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld effekt efter primært forløb;Uge 43-2021_Fuld effekt efter revaccination;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld effekt efter primært forløb;Uge 42-2021_Fuld effekt efter revaccination;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld effekt efter primært forløb;Uge 41-2021_Fuld effekt efter revaccination;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld effekt efter primært forløb;Uge 40-2021_Fuld effekt efter revaccination
0-5;20421;770;682;253;0;15071;682;376;20;0;7110;348;52;1;0;4866;257;0;0;0;3128;135;0;0;0;3208;81;0;0;0;2512;9;0;0;0;1724;0;0;0;0;1423;0;0;0;0;1351;1;0;0;0;1017;0;0;0;0;711;0;0;0;0;511;0;0;0;0;351;0;0;0;0;182;0;0;0;0;188;0;0;0;0
6-11;19134;5424;13237;7270;0;12337;4906;6126;1456;0;5212;2835;1070;68;0;4548;3097;308;2;0;3368;2185;31;0;0;7209;2857;0;0;0;8289;1188;0;0;0;7069;132;0;0;0;6154;0;0;0;0;5749;0;0;0;0;4878;0;0;0;0;3457;0;0;0;0;1642;0;0;0;0;1136;0;0;0;0;989;0;0;0;0;885;0;0;0;0
12-15;5020;892;24558;24046;27;3317;648;13341;12966;8;1952;403;6114;5975;3;1396;372;4534;4411;2;1005;237;2522;2422;2;1370;308;2055;1991;1;1322;242;796;751;0;1022;176;424;414;0;958;153;357;334;0;1003;164;329;312;0;926;95;240;235;0;641;47;143;141;0;509;19;86;85;0;374;20;56;54;0;228;8;32;30;0;222;10;17;17;0
16-19;1618;221;21160;17897;3165;1341;198;14344;12866;1392;1385;238;13754;13200;470;846;172;7743;7625;64;585;103;5676;5621;18;598;114;4556;4522;9;535;86;1742;1728;1;460;70;966;958;2;403;63;638;633;2;391;53;669;665;2;335;35;438;435;1;234;17;345;344;0;249;11;289;287;0;157;5;138;136;0;86;11;82;81;0;75;4;70;70;0
20-29;5206;625;23343;15000;8167;4097;507;17921;13793;3959;4701;719;24126;21532;2427;3892;663;20393;18909;1306;2244;376;13078;12306;640;2284;372;11146;10630;430;1814;296;4833;4617;176;1478;196;2518;2463;39;1263;153;1917;1866;39;1290;161;1972;1937;24;1124;121;1671;1648;12;902;57;1041;1031;6;881;51;835;828;5;628;36;511;504;0;374;24;302;301;0;305;19;191;191;0
30-39;6017;686;37441;23780;13418;3957;477;24401;18664;5507;3202;463;15017;12991;1917;3062;474;15448;13755;1536;1852;330;9632;8710;818;2030;306;8246;7606;556;1661;248;4318;4039;232;1431;199;2961;2798;130;1222;201;2347;2245;89;1307;156;2339;2259;62;1022;98;1832;1800;26;820;66;1168;1148;10;672;51;864;853;6;587;38;659;648;8;309;14;338;334;1;283;31;248;241;0
40-49;3329;305;38222;10100;28043;2184;194;20810;7969;12770;1712;178;14299;7561;6693;1652;207;15035;11557;3425;1125;145;11267;10284;951;1235;151;10040;9417;574;1071;127;6194;5910;251;920;100;4290;4157;122;763;93;3504;3399;93;807;114;3357;3286;65;680;54;2689;2647;36;493;37;1708;1694;10;413;28;1324;1308;12;306;20;1036;1029;6;211;17;547;545;2;157;15;390;389;0
50-59;1549;104;20784;3078;17682;1111;90;12947;2901;10026;972;84;11186;3985;7174;1098;114;14493;9841;4620;603;78;9891;8961;916;641;56;8203;7748;443;524;58;4907;4719;179;458;40;3385;3285;97;379;36;2745;2664;75;388;39;2526;2458;63;336;16;2015;1985;27;225;20;1421;1399;19;207;9;1143;1132;10;129;13;836;834;2;73;5;404;402;1;65;3;308;304;0
60-64;312;20;6064;542;5522;258;18;3776;570;3203;210;25;3178;831;2341;267;19;4735;2608;2123;138;10;2836;2401;432;147;12;2452;2260;187;127;9;1605;1528;73;95;9;1209;1169;40;104;5;1052;1017;34;104;6;950;921;29;56;3;716;696;20;62;1;569;561;8;46;3;466;459;7;31;4;346;344;2;25;0;175;173;2;17;4;107;106;1
65-69;145;10;3715;219;3490;91;13;2214;208;2005;103;11;1957;337;1619;116;8;3135;1191;1942;73;5;1550;1067;481;61;4;1524;1337;186;57;7;1211;1142;67;53;1;984;947;37;50;4;855;825;30;40;2;822;801;21;34;3;633;621;12;19;2;479;472;7;26;3;404;401;3;13;1;286;283;3;9;2;152;150;2;11;0;108;107;0
