Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.359 (48);  10.123 (52);  19.482
10-19;  20.011 (49);  21.127 (51);  41.138
20-29;  24.978 (51);  24.245 (49);  49.223
30-39;  18.432 (51);  17.926 (49);  36.358
40-49;  20.204 (53);  18.084 (47);  38.288
50-59;  18.806 (51);  18.058 (49);  36.864
60-69;   9.633 (49);  10.224 (51);  19.857
70-79;   5.855 (49);   6.002 (51);  11.857
80-89;   3.460 (58);   2.528 (42);   5.988
90+;   1.311 (71);     547 (29);   1.858
I alt; 132.049 (51); 128.864 (49); 260.913
