Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.033 (50);   1.051 (50);   2.084
10-19;   3.081 (49);   3.250 (51);   6.331
20-29;   4.555 (51);   4.325 (49);   8.880
30-39;   3.249 (51);   3.091 (49);   6.340
40-49;   3.657 (53);   3.290 (47);   6.947
50-59;   3.528 (52);   3.300 (48);   6.828
60-69;   1.755 (47);   1.961 (53);   3.716
70-79;   1.151 (48);   1.258 (52);   2.409
80-89;     735 (56);     574 (44);   1.309
90+;     272 (71);     109 (29);     381
I alt;  23.016 (51);  22.209 (49);  45.225
