"2020M03D21";206;42
"2020M03D22";232;46
"2020M03D23";254;55
"2020M03D24";301;59
"2020M03D25";350;87
"2020M03D26";386;94
"2020M03D27";430;109
"2020M03D28";459;121
"2020M03D29";499;131
"2020M03D30";533;137
"2020M03D31";529;145
"2020M04D01";535;146
"2020M04D02";527;146
"2020M04D03";511;139
"2020M04D04";498;137
"2020M04D05";490;138
"2020M04D06";488;133
"2020M04D07";466;127
"2020M04D08";446;127
"2020M04D09";427;120
"2020M04D10";398;113
"2020M04D11";402;106
"2020M04D12";391;104
"2020M04D13";381;100
"2020M04D14";374;93
"2020M04D15";355;89
"2020M04D16";341;92
"2020M04D17";337;93
"2020M04D18";304;87
"2020M04D19";303;84
"2020M04D20";321;84
"2020M04D21";315;81
"2020M04D22";309;80
"2020M04D23";303;74
"2020M04D24";303;69
"2020M04D25";276;70
"2020M04D26";273;70
"2020M04D27";293;72
"2020M04D28";271;66
"2020M04D29";254;65
"2020M04D30";236;62
"2020M05D01";229;61
"2020M05D02";214;60
"2020M05D03";225;62
"2020M05D04";228;57
"2020M05D05";209;49
"2020M05D06";190;46
"2020M05D07";178;43
"2020M05D08";183;42
"2020M05D09";169;39
"2020M05D10";174;39
"2020M05D11";173;42
"2020M05D12";151;42
"2020M05D13";138;37
"2020M05D14";128;35
"2020M05D15";120;32
"2020M05D16";115;28
"2020M05D17";113;27
"2020M05D18";118;26
"2020M05D19";115;25
"2020M05D20";103;25
"2020M05D21";100;23
"2020M05D22";100;23
"2020M05D23";102;19
"2020M05D24";100;20
"2020M05D25";102;19
"2020M05D26";97;22
"2020M05D27";91;22
"2020M05D28";96;20
"2020M05D29";93;18
"2020M05D30";87;20
"2020M05D31";85;20
"2020M06D01";88;20
"2020M06D02";86;21
"2020M06D03";82;20
"2020M06D04";76;17
"2020M06D05";66;17
"2020M06D06";68;15
"2020M06D07";65;15
"2020M06D08";66;16
"2020M06D09";59;15
"2020M06D10";57;17
"2020M06D11";51;13
"2020M06D12";51;12
"2020M06D13";47;9
"2020M06D14";49;9
"2020M06D15";46;9
"2020M06D16";43;8
"2020M06D17";39;6
"2020M06D18";38;6
"2020M06D19";37;6
"2020M06D20";39;6
"2020M06D21";38;6
"2020M06D22";37;7
"2020M06D23";32;8
