Variable;Date;Daily
hospitalized;2020-03-21; 42
hospitalized;2020-03-22; 46
hospitalized;2020-03-23; 55
hospitalized;2020-03-24; 59
hospitalized;2020-03-25; 87
hospitalized;2020-03-26; 94
hospitalized;2020-03-27;109
hospitalized;2020-03-28;121
hospitalized;2020-03-29;131
hospitalized;2020-03-30;137
hospitalized;2020-03-31;145
hospitalized;2020-04-01;146
hospitalized;2020-04-02;146
hospitalized;2020-04-03;139
hospitalized;2020-04-04;137
hospitalized;2020-04-05;138
hospitalized;2020-04-06;133
hospitalized;2020-04-07;127
hospitalized;2020-04-08;127
hospitalized;2020-04-09;120
hospitalized;2020-04-10;113
hospitalized;2020-04-11;106
hospitalized;2020-04-12;104
hospitalized;2020-04-13;100
hospitalized;2020-04-14; 93
hospitalized;2020-04-15; 89
hospitalized;2020-04-16; 92
hospitalized;2020-04-17; 93
hospitalized;2020-04-18; 87
hospitalized;2020-04-19; 84
hospitalized;2020-04-20; 84
hospitalized;2020-04-21; 81
hospitalized;2020-04-22; 80
hospitalized;2020-04-23; 74
hospitalized;2020-04-24; 69
hospitalized;2020-04-25; 70
hospitalized;2020-04-26; 70
hospitalized;2020-04-27; 72
hospitalized;2020-04-28; 66
hospitalized;2020-04-29; 65
hospitalized;2020-04-30; 62
hospitalized;2020-05-01; 61
hospitalized;2020-05-02; 60
hospitalized;2020-05-03; 62
hospitalized;2020-05-04; 57
hospitalized;2020-05-05; 49
hospitalized;2020-05-06; 46
hospitalized;2020-05-07; 43
hospitalized;2020-05-08; 42
hospitalized;2020-05-09; 39
hospitalized;2020-05-10; 39
hospitalized;2020-05-11; 42
hospitalized;2020-05-12; 42
hospitalized;2020-05-13; 37
hospitalized;2020-05-14; 35
hospitalized;2020-05-15; 32
hospitalized;2020-05-16; 28
hospitalized;2020-05-17; 27
hospitalized;2020-05-18; 26
hospitalized;2020-05-19; 25
hospitalized;2020-05-20; 25
hospitalized;2020-05-21; 23
hospitalized;2020-05-22; 23
hospitalized;2020-05-23; 19
hospitalized;2020-05-24; 20
hospitalized;2020-05-25; 19
hospitalized;2020-05-26; 22
hospitalized;2020-05-27; 22
hospitalized;2020-05-28; 20
hospitalized;2020-05-29; 18
hospitalized;2020-05-30; 20
hospitalized;2020-05-31; 20
hospitalized;2020-06-01; 20
hospitalized;2020-06-02; 21
hospitalized;2020-06-03; 20
hospitalized;2020-06-04; 17
hospitalized;2020-06-05; 17
hospitalized;2020-06-06; 15
hospitalized;2020-06-07; 15
hospitalized;2020-06-08; 16
hospitalized;2020-06-09; 15
hospitalized;2020-06-10; 17
hospitalized;2020-06-11; 13
