Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     993 (49);   1.018 (51);   2.011
10-19;   2.970 (49);   3.128 (51);   6.098
20-29;   4.447 (51);   4.188 (49);   8.635
30-39;   3.169 (51);   3.013 (49);   6.182
40-49;   3.562 (53);   3.197 (47);   6.759
50-59;   3.454 (52);   3.221 (48);   6.675
60-69;   1.720 (47);   1.915 (53);   3.635
70-79;   1.135 (48);   1.233 (52);   2.368
80-89;     729 (56);     566 (44);   1.295
90+;     269 (72);     107 (28);     376
I alt;  22.448 (51);  21.586 (49);  44.034
