Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.950 (49);   2.043 (51);   3.993
10-19;   5.638 (48);   6.125 (52);  11.763
20-29;   7.233 (50);   7.144 (50);  14.377
30-39;   5.120 (50);   5.066 (50);  10.186
40-49;   5.884 (52);   5.405 (48);  11.289
50-59;   5.571 (51);   5.397 (49);  10.968
60-69;   2.765 (48);   3.041 (52);   5.806
70-79;   1.706 (48);   1.863 (52);   3.569
80-89;     974 (56);     780 (44);   1.754
90+;     352 (71);     147 (29);     499
I alt;  37.193 (50);  37.011 (50);  74.204
