Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     525 (49);     554 (51);   1.079
10-19;   1.493 (49);   1.556 (51);   3.049
20-29;   2.747 (53);   2.436 (47);   5.183
30-39;   2.056 (54);   1.774 (46);   3.830
40-49;   2.364 (56);   1.883 (44);   4.247
50-59;   2.296 (54);   1.968 (46);   4.264
60-69;   1.174 (48);   1.262 (52);   2.436
70-79;     759 (47);     871 (53);   1.630
80-89;     588 (57);     448 (43);   1.036
90+;     229 (72);      89 (28);     318
I alt;  14.231 (53);  12.841 (47);  27.072
