Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     106 (51);     102 (49);     208
10-19;     240 (55);     198 (45);     438
20-29;     883 (62);     539 (38);   1.422
30-39;     920 (63);     549 (37);   1.469
40-49;   1.143 (60);     749 (40);   1.892
50-59;   1.161 (60);     780 (40);   1.941
60-69;     619 (50);     628 (50);   1.247
70-79;     414 (45);     508 (55);     922
80-89;     419 (57);     320 (43);     739
90+;     171 (73);      64 (27);     235
I alt;   6.076 (58);   4.437 (42);  10.513
