Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 09-2022;1036629;85166;4758872;1182200;3571335;648321;36475;3560570;644238;2914358;8628;556;95412;14181;81202;29519;2525;327559;49570;277717;21290;1571;289645;36705;252797;33626;2882;384103;57420;326362;1418;100;4327;1477;2840;311;21;1725;233;1491
Uge 08-2022;1036705;87308;4757523;1195726;3553756;709262;44379;3777750;740574;3033756;13331;854;129306;21572;107660;39306;3207;421194;65358;355389;30449;2142;379898;51746;327888;45362;3730;503969;76717;426719;2010;178;6115;2057;4042;392;34;2020;326;1691
Uge 07-2022;1036531;89672;4755864;1216839;3526732;770118;54214;3964394;843025;3115497;25505;1670;198664;41204;157228;62742;4972;572683;103147;468460;51189;3673;523784;86271;436745;74141;5864;700051;123617;575104;3357;253;9222;3474;5716;550;38;2161;410;1749
Uge 06-2022;1036556;94613;4751315;1261120;3468491;810302;63526;4074690;933769;3128265;43870;3293;250226;71104;178319;100981;8671;735493;166982;565297;84512;6769;675011;144028;528525;120019;10241;910125;200307;705876;5496;380;12100;5132;6895;629;45;2010;508;1495
Uge 05-2022;1037403;101124;4744883;1364712;3343127;836890;72092;4170339;1075442;3069258;51730;4434;223651;82550;139110;119732;11252;751085;202279;541972;103244;9211;694887;180380;508682;144669;13599;945447;247967;688863;5617;391;9925;4615;5184;600;43;1644;467;1164
Uge 04-2022;1039657;114557;4730096;1529422;3138937;857730;85523;4247024;1266684;2930756;58921;6734;214947;97581;113453;158835;18867;878034;289907;572547;136459;15773;811703;260244;537635;193954;22978;1105748;357486;728627;7003;479;10112;5637;4311;527;35;1310;496;796
Uge 03-2022;1045215;133480;4706197;1725821;2868789;875245;104236;4286763;1480910;2709163;62951;9083;194938;104225;83110;192254;29021;976777;374724;566870;166194;25010;903135;338209;532965;246586;37547;1276994;481875;747666;7903;502;9694;6195;3263;518;44;1022;462;544
Uge 02-2022;1055253;167922;4662303;1981759;2564442;900500;139402;4296666;1755609;2437755;43894;7771;119886;72808;41022;168782;33569;846408;370216;446739;147411;29833;784049;336494;420486;218765;43468;1096276;473432;584117;5265;362;6196;4389;1649;437;49;815;393;415
Uge 01-2022;1073998;228796;4583610;2378764;2140610;931237;198609;4252839;2151371;2044618;26704;5359;94595;67743;25148;136920;38572;833617;449514;372078;117901;34094;771367;409479;351160;175875;49395;1069753;571837;482441;3753;362;5891;4802;1002;347;38;737;406;324
Uge 52-2021;1096233;254571;4537284;3174620;1317702;963427;224854;4229159;2925859;1266218;21905;5455;91973;71255;19688;113783;37788;761902;530124;225061;100077;33998;709037;490934;212599;140887;46665;935962;645649;282109;2452;235;4379;3675;646;357;43;745;464;274
