Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.482 (49);   1.536 (51);   3.018
10-19;   4.345 (49);   4.562 (51);   8.907
20-29;   5.853 (51);   5.675 (49);  11.528
30-39;   4.145 (51);   3.995 (49);   8.140
40-49;   4.715 (52);   4.311 (48);   9.026
50-59;   4.514 (51);   4.270 (49);   8.784
60-69;   2.229 (48);   2.443 (52);   4.672
70-79;   1.402 (47);   1.563 (53);   2.965
80-89;     835 (56);     660 (44);   1.495
90+;     307 (72);     121 (28);     428
I alt;  29.827 (51);  29.136 (49);  58.963
