"Prøvedato";"Kommune kode";"Mistænkte positive antigen tests"
2021-02-25;621;1
2021-02-25;740;1
2021-02-25;751;2
2021-02-25;766;2
2021-02-25;846;3
2021-02-26;;5
2021-02-26;101;1
2021-02-26;147;1
2021-02-26;165;1
2021-02-26;183;1
2021-02-26;265;1
2021-02-26;461;3
2021-02-26;550;2
2021-02-26;621;2
2021-02-26;630;1
2021-02-26;766;1
2021-02-26;787;2
2021-02-26;851;2
2021-02-27;;8
2021-02-27;183;1
2021-02-27;265;1
2021-02-27;461;3
2021-02-27;580;1
2021-02-27;630;1
2021-02-27;657;2
2021-02-27;730;1
2021-02-27;751;3
2021-02-27;813;1
2021-02-28;;8
2021-02-28;101;2
2021-02-28;167;1
2021-02-28;169;1
2021-02-28;259;1
2021-02-28;265;1
2021-02-28;320;1
2021-02-28;561;1
2021-02-28;630;1
2021-02-28;707;1
2021-02-28;740;1
2021-02-28;751;1
2021-02-28;756;1
2021-02-28;846;1
2021-02-28;851;1
2021-03-01;;3
2021-03-01;101;1
2021-03-01;161;1
2021-03-01;260;1
2021-03-01;461;2
2021-03-01;540;1
2021-03-01;575;1
2021-03-01;615;1
2021-03-01;621;2
2021-03-01;630;1
2021-03-01;751;1
2021-03-01;849;1
2021-03-02;;2
2021-03-02;147;1
2021-03-02;165;1
2021-03-02;183;1
2021-03-02;253;1
2021-03-02;461;1
2021-03-02;561;1
2021-03-02;621;2
2021-03-02;710;1
2021-03-02;740;1
2021-03-02;751;1
2021-03-02;779;1
2021-03-02;791;1
2021-03-02;851;1
2021-03-03;;2
2021-03-03;101;1
2021-03-03;147;2
2021-03-03;165;1
2021-03-03;169;1
2021-03-03;217;2
2021-03-03;253;1
2021-03-03;259;3
2021-03-03;461;2
2021-03-03;510;1
2021-03-04;;3
2021-03-04;101;3
2021-03-04;147;3
2021-03-04;153;2
2021-03-04;169;1
2021-03-04;217;2
2021-03-04;253;1
2021-03-04;265;2
2021-03-04;370;1
2021-03-04;461;2
2021-03-04;615;1
2021-03-04;621;1
2021-03-04;657;1
2021-03-04;665;1
2021-03-04;671;1
2021-03-04;751;5
2021-03-04;766;1
2021-03-04;840;1
2021-03-04;851;1
2021-03-05;;12
2021-03-05;101;1
2021-03-05;151;1
2021-03-05;153;1
2021-03-05;169;1
2021-03-05;223;1
2021-03-05;253;1
2021-03-05;265;1
2021-03-05;370;2
2021-03-05;390;1
2021-03-05;430;1
2021-03-05;461;3
2021-03-05;561;1
2021-03-05;580;1
2021-03-05;707;1
2021-03-05;710;1
2021-03-05;730;1
2021-03-05;751;5
2021-03-05;791;1
2021-03-05;849;1
2021-03-06;;2
2021-03-06;101;3
2021-03-06;153;2
2021-03-06;157;1
2021-03-06;169;1
2021-03-06;210;1
2021-03-06;217;1
2021-03-06;320;1
2021-03-06;329;1
2021-03-06;461;3
2021-03-06;630;1
2021-03-06;661;1
2021-03-06;707;1
2021-03-06;751;3
2021-03-06;760;1
2021-03-06;773;1
2021-03-07;;5
2021-03-07;101;4
2021-03-07;153;2
2021-03-07;183;2
2021-03-07;210;2
2021-03-07;217;1
2021-03-07;230;1
2021-03-07;265;1
2021-03-07;316;1
2021-03-07;329;1
2021-03-07;410;1
2021-03-07;461;5
2021-03-07;580;2
2021-03-07;630;1
2021-03-07;740;1
2021-03-07;751;4
2021-03-07;791;1
2021-03-07;851;2
2021-03-08;;4
2021-03-08;101;1
2021-03-08;151;1
2021-03-08;153;2
2021-03-08;165;1
2021-03-08;173;1
2021-03-08;253;2
2021-03-08;330;1
2021-03-08;370;1
2021-03-08;561;1
2021-03-08;573;2
2021-03-08;730;2
2021-03-08;751;3
2021-03-08;779;1
2021-03-08;791;1
2021-03-08;846;2
2021-03-09;;2
2021-03-09;101;3
2021-03-09;147;1
2021-03-09;217;1
2021-03-09;253;1
2021-03-09;370;1
2021-03-09;376;1
2021-03-09;461;3
2021-03-09;561;1
2021-03-09;621;2
2021-03-09;751;1
2021-03-09;779;1
2021-03-09;846;1
2021-03-09;849;2
2021-03-10;;5
2021-03-10;101;4
2021-03-10;147;1
2021-03-10;167;1
2021-03-10;253;1
2021-03-10;329;1
2021-03-10;330;2
2021-03-10;461;1
2021-03-10;479;1
2021-03-10;561;2
2021-03-10;580;1
2021-03-10;615;2
2021-03-10;730;2
2021-03-10;741;1
2021-03-10;751;3
2021-03-10;791;1
2021-03-10;851;1
2021-03-11;;6
2021-03-11;101;3
2021-03-11;153;2
2021-03-11;157;1
2021-03-11;165;1
2021-03-11;169;3
2021-03-11;217;1
2021-03-11;259;1
2021-03-11;329;1
2021-03-11;330;2
2021-03-11;390;1
2021-03-11;730;2
2021-03-11;751;2
2021-03-11;756;1
2021-03-11;773;1
2021-03-11;851;1
2021-03-12;;3
2021-03-12;147;2
2021-03-12;165;1
2021-03-12;169;1
2021-03-12;253;1
2021-03-12;265;1
2021-03-12;326;1
2021-03-12;330;7
2021-03-12;430;1
2021-03-12;461;4
2021-03-12;480;1
2021-03-12;510;3
2021-03-12;561;1
2021-03-12;630;1
2021-03-12;706;1
2021-03-12;730;2
2021-03-12;751;1
2021-03-12;756;3
2021-03-13;;6
2021-03-13;101;7
2021-03-13;163;1
2021-03-13;173;1
2021-03-13;210;1
2021-03-13;265;1
2021-03-13;306;1
2021-03-13;316;1
2021-03-13;326;1
2021-03-13;330;3
2021-03-13;340;1
2021-03-13;370;4
2021-03-13;376;1
2021-03-13;450;1
2021-03-13;561;2
2021-03-13;630;1
2021-03-13;661;1
2021-03-13;730;2
2021-03-13;751;2
2021-03-14;;7
2021-03-14;101;8
2021-03-14;161;1
2021-03-14;165;1
2021-03-14;169;1
2021-03-14;175;1
2021-03-14;183;1
2021-03-14;217;1
2021-03-14;306;1
2021-03-14;316;2
2021-03-14;400;1
2021-03-14;461;1
2021-03-14;510;2
2021-03-14;621;1
2021-03-14;630;1
2021-03-14;730;1
2021-03-14;751;1
2021-03-14;791;1
2021-03-15;;2
2021-03-15;101;6
2021-03-15;161;1
2021-03-15;165;1
2021-03-15;183;1
2021-03-15;187;2
2021-03-15;217;1
2021-03-15;230;1
2021-03-15;350;1
2021-03-15;370;2
2021-03-15;461;2
2021-03-15;510;3
2021-03-15;530;1
2021-03-15;615;1
2021-03-15;730;2
2021-03-15;751;2
2021-03-15;766;2
2021-03-15;820;1
2021-03-16;;10
2021-03-16;101;5
2021-03-16;153;1
2021-03-16;167;1
2021-03-16;175;1
2021-03-16;217;1
2021-03-16;253;2
2021-03-16;270;1
2021-03-16;329;1
2021-03-16;410;1
2021-03-16;430;1
2021-03-16;461;3
2021-03-16;510;1
2021-03-16;621;3
2021-03-16;630;2
2021-03-16;710;1
2021-03-16;730;2
2021-03-16;740;1
2021-03-16;751;6
2021-03-17;;8
2021-03-17;101;4
2021-03-17;153;1
2021-03-17;159;2
2021-03-17;167;1
2021-03-17;183;1
2021-03-17;217;1
2021-03-17;223;1
2021-03-17;253;1
2021-03-17;260;1
2021-03-17;269;1
2021-03-17;350;1
2021-03-17;461;3
2021-03-17;480;1
2021-03-17;510;2
2021-03-17;630;1
2021-03-17;740;2
2021-03-17;751;2
2021-03-17;851;1
2021-03-18;;3
2021-03-18;101;4
2021-03-18;147;1
2021-03-18;151;1
2021-03-18;159;1
2021-03-18;169;1
2021-03-18;183;2
2021-03-18;187;1
2021-03-18;190;3
2021-03-18;210;2
2021-03-18;217;1
2021-03-18;253;1
2021-03-18;259;1
2021-03-18;320;1
2021-03-18;370;1
2021-03-18;461;7
2021-03-18;561;1
2021-03-18;621;1
2021-03-18;630;3
2021-03-18;657;3
2021-03-18;706;1
2021-03-18;740;2
2021-03-18;751;1
2021-03-18;787;1
2021-03-18;851;1
2021-03-19;;4
2021-03-19;101;3
2021-03-19;153;1
2021-03-19;155;1
2021-03-19;157;1
2021-03-19;159;1
2021-03-19;167;1
2021-03-19;169;2
2021-03-19;187;1
2021-03-19;259;1
2021-03-19;326;1
2021-03-19;461;1
2021-03-19;630;1
2021-03-19;657;1
2021-03-19;730;1
2021-03-19;740;1
2021-03-19;766;1
2021-03-19;787;1
2021-03-20;;5
2021-03-20;101;3
2021-03-20;147;2
2021-03-20;153;1
2021-03-20;217;1
2021-03-20;219;1
2021-03-20;330;1
2021-03-20;461;1
2021-03-20;510;2
2021-03-20;540;2
2021-03-20;630;1
2021-03-20;840;1
2021-03-21;;6
2021-03-21;101;8
2021-03-21;147;1
2021-03-21;190;1
2021-03-21;217;2
2021-03-21;259;2
2021-03-21;461;2
2021-03-21;479;1
2021-03-21;621;1
2021-03-21;630;4
2021-03-21;730;1
2021-03-22;;13
2021-03-22;101;3
2021-03-22;147;1
2021-03-22;151;2
2021-03-22;153;2
2021-03-22;167;2
2021-03-22;183;1
2021-03-22;219;1
2021-03-22;260;1
2021-03-22;265;1
2021-03-22;461;2
2021-03-22;561;1
2021-03-22;575;1
2021-03-22;630;2
2021-03-22;707;1
2021-03-22;730;4
2021-03-22;760;1
2021-03-22;791;1
2021-03-22;820;2
2021-03-23;;10
2021-03-23;101;2
2021-03-23;155;1
2021-03-23;159;3
2021-03-23;183;2
2021-03-23;265;1
2021-03-23;270;2
2021-03-23;329;1
2021-03-23;479;1
2021-03-23;510;1
2021-03-23;540;1
2021-03-23;615;2
2021-03-23;730;1
2021-03-23;751;2
2021-03-23;773;1
2021-03-23;787;1
2021-03-24;;6
2021-03-24;101;4
2021-03-24;147;1
2021-03-24;151;1
2021-03-24;159;2
2021-03-24;167;1
2021-03-24;175;1
2021-03-24;190;1
2021-03-24;210;2
2021-03-24;217;1
2021-03-24;253;1
2021-03-24;320;1
2021-03-24;329;1
2021-03-24;360;1
2021-03-24;461;3
2021-03-24;510;1
2021-03-24;615;1
2021-03-24;661;1
2021-03-24;751;1
2021-03-24;813;1
2021-03-25;;10
2021-03-25;101;8
2021-03-25;147;1
2021-03-25;151;1
2021-03-25;159;3
2021-03-25;163;1
2021-03-25;167;1
2021-03-25;175;1
2021-03-25;183;1
2021-03-25;190;1
2021-03-25;210;1
2021-03-25;217;1
2021-03-25;219;1
2021-03-25;223;1
2021-03-25;316;1
2021-03-25;320;1
2021-03-25;561;1
2021-03-25;615;2
2021-03-25;630;1
2021-03-25;657;1
2021-03-25;730;1
2021-03-25;851;1
2021-03-26;;3
2021-03-26;101;10
2021-03-26;173;1
2021-03-26;253;1
2021-03-26;326;1
2021-03-26;330;1
2021-03-26;440;1
2021-03-26;461;1
2021-03-26;482;1
2021-03-26;561;1
2021-03-26;615;1
2021-03-26;630;3
2021-03-26;706;1
2021-03-26;730;2
2021-03-26;751;1
2021-03-27;;5
2021-03-27;101;1
2021-03-27;153;1
2021-03-27;157;1
2021-03-27;159;1
2021-03-27;175;1
2021-03-27;183;1
2021-03-27;260;1
2021-03-27;420;5
2021-03-27;479;1
2021-03-27;621;1
2021-03-27;730;1
2021-03-27;849;1
2021-03-28;;10
2021-03-28;101;6
2021-03-28;161;1
2021-03-28;175;1
2021-03-28;183;1
2021-03-28;461;2
2021-03-28;573;1
2021-03-28;751;2
2021-03-28;760;1
2021-03-29;;16
2021-03-29;101;2
2021-03-29;147;1
2021-03-29;151;2
2021-03-29;157;1
2021-03-29;159;2
2021-03-29;167;1
2021-03-29;250;1
2021-03-29;410;1
2021-03-29;461;4
2021-03-29;730;2
2021-03-29;756;1
2021-03-29;849;1
2021-03-30;;14
2021-03-30;101;8
2021-03-30;151;1
2021-03-30;175;1
2021-03-30;183;2
2021-03-30;187;1
2021-03-30;190;1
2021-03-30;217;1
2021-03-30;260;1
2021-03-30;306;1
2021-03-30;320;1
2021-03-30;360;2
2021-03-30;376;1
2021-03-30;400;1
2021-03-30;420;1
2021-03-30;430;1
2021-03-30;461;2
2021-03-30;706;1
2021-03-30;730;3
2021-03-30;746;2
2021-03-30;751;1
2021-03-30;813;1
2021-03-31;;10
2021-03-31;101;2
2021-03-31;159;1
2021-03-31;169;1
2021-03-31;183;2
2021-03-31;329;1
2021-03-31;370;1
2021-03-31;430;1
2021-03-31;575;1
2021-03-31;630;1
2021-03-31;756;1
2021-03-31;820;2
2021-04-01;;10
2021-04-01;101;4
2021-04-01;147;2
2021-04-01;151;1
2021-04-01;153;1
2021-04-01;161;1
2021-04-01;165;2
2021-04-01;169;1
2021-04-01;175;1
2021-04-01;185;2
2021-04-01;217;4
2021-04-01;223;3
2021-04-01;230;3
2021-04-01;240;1
2021-04-01;250;2
2021-04-01;270;1
2021-04-01;329;1
2021-04-01;370;1
2021-04-01;461;3
2021-04-01;561;1
2021-04-01;615;2
2021-04-01;706;1
2021-04-01;710;1
2021-04-01;746;1
2021-04-01;751;1
2021-04-01;756;1
2021-04-01;760;1
2021-04-01;773;1
2021-04-01;791;1
2021-04-01;846;1
2021-04-02;;6
2021-04-02;101;27
2021-04-02;147;1
2021-04-02;153;1
2021-04-02;157;3
2021-04-02;159;6
2021-04-02;161;1
2021-04-02;163;2
2021-04-02;165;1
2021-04-02;169;4
2021-04-02;175;4
2021-04-02;183;4
2021-04-02;185;1
2021-04-02;187;2
2021-04-02;190;1
2021-04-02;210;2
2021-04-02;217;10
2021-04-02;219;1
2021-04-02;223;2
2021-04-02;240;3
2021-04-02;259;5
2021-04-02;260;2
2021-04-02;265;5
2021-04-02;316;2
2021-04-02;320;1
2021-04-02;330;1
2021-04-02;336;1
2021-04-02;350;1
2021-04-02;360;3
2021-04-02;370;3
2021-04-02;376;3
2021-04-02;440;2
2021-04-02;450;1
2021-04-02;461;5
2021-04-02;480;1
2021-04-02;540;2
2021-04-02;561;1
2021-04-02;580;1
2021-04-02;607;4
2021-04-02;615;1
2021-04-02;621;1
2021-04-02;630;1
2021-04-02;657;7
2021-04-02;706;2
2021-04-02;707;2
2021-04-02;710;3
2021-04-02;730;3
2021-04-02;740;4
2021-04-02;751;8
2021-04-02;760;1
2021-04-02;779;1
2021-04-02;787;1
2021-04-02;791;1
2021-04-02;813;3
2021-04-02;820;2
2021-04-02;846;1
2021-04-02;851;1
