Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 46-2021;1354432;89058;4429582;4412708;1240026;73789;4200298;4186313;12505;698;14685;14626;200238;12087;671965;670048;260048;14883;804381;802011;202;6;83;82;206;9;320;320
Uge 45-2021;1380565;72539;4420536;4404939;1264075;60128;4195221;4182272;10467;436;11695;11662;187621;9075;633215;631469;240226;10973;753218;751070;174;7;61;61;143;15;290;290
Uge 44-2021;1391739;68145;4413946;4397524;1275524;56315;4191550;4177834;7602;249;8013;7988;139077;6102;498744;497210;179893;7391;595475;593589;130;5;39;39;159;8;206;203
Uge 43-2021;1400254;67820;4406447;4388585;1284262;56016;4186629;4171618;5199;176;6422;6407;98318;5074;409733;408397;117416;5899;467927;466368;108;2;39;39;114;3;180;180
Uge 42-2021;1405960;69618;4399209;4377381;1290360;57479;4181649;4163093;3751;141;4713;4698;78479;4323;309881;308569;90905;4915;343776;342295;75;1;37;37;90;8;143;143
Uge 41-2021;1410952;74475;4389686;4362494;1295748;61694;4174490;4151105;2503;83;2395;2386;81570;4711;217400;215519;96285;5426;244399;242271;37;1;14;14;73;3;84;83
Uge 40-2021;1416414;80714;4378261;4339565;1302196;67238;4166007;4132464;2216;90;1691;1678;57495;3473;159996;158510;67634;3985;179178;177496;32;0;18;16;53;2;54;54
Uge 39-2021;1422472;91695;4362164;4307389;1310112;76994;4153865;4105907;1716;90;1173;1159;50201;3338;149106;147320;59061;3825;165729;163698;25;0;9;8;38;4;42;42
Uge 38-2021;1430239;110046;4336265;4262543;1320770;93621;4133089;4067583;1430;77;965;952;51092;4273;147495;145147;59465;4850;162080;159404;16;0;6;6;32;2;54;54
Uge 37-2021;1440174;133619;4303185;4194441;1333535;115190;4105841;4007237;1294;74;781;763;54106;5896;160420;156623;62536;6748;176818;172524;17;0;11;10;38;5;44;43
Uge 36-2021;1453276;168416;4255785;4063045;1349098;147701;4065018;3886998;1907;173;1101;1056;69687;9321;192380;183390;80679;10670;213669;203524;40;2;8;8;85;9;59;57
Uge 35-2021;1473006;232786;4173092;3868786;1369871;208660;3990681;3705888;2664;272;1475;1374;94673;16414;213849;196101;112706;19243;242618;222161;56;5;16;13;125;13;48;45
Uge 34-2021;1502845;340692;4035907;3542443;1399477;312023;3864324;3399600;3998;471;1699;1494;128518;29998;246654;209829;156401;35925;283252;239916;82;5;12;11;128;11;59;59
Uge 33-2021;1540621;512823;3826353;3257246;1435839;477264;3668167;3131360;4460;665;1662;1334;119124;43185;210754;167625;146763;52765;246493;194574;101;2;11;9;150;13;58;55
Uge 32-2021;1587357;803601;3489525;3016197;1481827;755580;3351444;2904340;4151;1076;1570;1117;98287;62224;168577;135034;117332;74052;193839;154179;102;3;14;11;119;29;37;34
Uge 31-2021;1661241;1000585;3219036;2712311;1552892;943678;3096655;2616468;3619;1353;1324;887;101522;87697;155197;117240;117481;102850;175857;131628;85;7;6;3;71;15;36;34
