Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;2;0;0;0;2;0;0;0;3;0;0;0;4;0;0;0;3;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;3;0;0;0
6-11;40;0;0;0;50;0;0;0;28;0;0;0;14;0;0;0;10;0;0;0;0;0;0;0;4;0;0;0;8;0;0;0;3;0;0;0;1;0;0;0;7;0;0;0;7;0;0;0;14;0;0;0;18;0;0;0;8;0;0;0;5;0;0;0
12-15;25;1;2;2;15;1;0;0;14;0;1;1;11;0;1;1;3;0;0;0;2;0;0;0;5;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;3;0;0;0;7;0;0;0;9;1;1;1;8;0;0;0;9;0;0;0;3;0;0;0
16-19;14;0;2;2;22;1;3;3;9;0;1;1;12;0;1;1;7;0;2;2;9;0;0;0;5;0;2;2;1;0;4;4;1;0;1;1;1;0;0;0;3;0;1;1;4;0;1;0;15;0;2;2;15;0;0;0;13;1;3;3;7;0;0;0
20-29;54;4;25;25;43;2;13;13;44;0;7;7;35;1;10;10;23;1;7;7;6;0;2;2;10;0;3;1;7;0;2;1;1;0;0;0;6;0;0;0;13;0;2;2;19;2;2;1;19;1;3;3;23;0;0;0;45;1;2;0;41;4;4;1
30-39;33;0;12;12;18;1;11;11;17;5;6;6;17;1;7;7;18;0;5;5;10;0;3;3;4;0;4;4;4;0;0;0;3;0;0;0;5;0;4;3;6;2;1;1;8;1;2;2;11;1;1;1;15;1;3;1;14;1;2;2;17;2;1;1
40-49;27;1;15;15;16;1;17;17;12;0;9;9;11;0;12;12;10;0;6;6;7;0;5;5;2;0;3;3;2;0;3;3;4;0;0;0;1;0;3;3;3;0;0;0;3;1;3;3;11;0;1;1;16;0;5;5;5;0;2;1;8;0;0;0
50-59;6;0;13;12;7;0;7;7;3;0;5;5;4;0;5;5;1;0;8;8;1;0;1;1;0;0;2;2;0;0;0;0;1;0;1;1;0;0;0;0;5;0;2;2;5;1;5;4;1;2;1;0;4;0;1;1;5;0;4;4;0;1;1;1
60-64;1;0;4;4;1;1;4;4;0;0;4;4;0;0;0;0;0;0;2;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0
65-69;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
