Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;343,5;9090,9;0;0;259,6;0;0;0;182,2;0;0;0;132,1;0;0;0;91,1;0;0;0;47,6;0;0;0;49,1;0;0;0;32,1;0;0;0;27,8;0;0;0;24;0;0;0;47,6;0;0;0;61,7;0;0;0;104,6;0;0;0;123,2;0;0;0;110,9;0;0;0;71,4;0;0;0
6-11;1608,6;0;0;0;1367,1;0;0;0;963,9;0;0;0;456,8;0;0;0;315,5;0;0;0;272,2;0;0;0;243,9;0;0;0;182,7;0;0;0;141,1;0;0;0;122,8;0;0;0;163,7;0;0;0;232,3;5263,2;0;0;354,4;0;0;0;342,7;7692,3;0;0;221,3;0;0;0;158,1;0;0;0
12-15;1486,3;991,2;171,5;165,9;1271,9;787,5;125,6;125,6;853,8;462,4;75,8;76,6;660,5;189,4;46,8;47,4;470,2;197,6;30,5;30,3;283,3;70,3;17,7;17,3;275,1;77,3;9,6;10,2;195,5;80,8;9,3;7,7;201,7;64,9;4,9;4,3;170;40,9;2,6;2,6;202,5;70,8;11,6;7,4;345,8;120;22,4;19,6;469,4;144,3;49,4;32,9;504,1;136,5;74,1;34,2;361,7;136,8;156,8;129,9;265,5;99,2;244,4;0
16-19;1070,7;861,4;285,2;285,6;907,5;672,3;189;188,9;609;325,4;148,6;148,7;647,8;207,4;124,7;124,4;404,1;110,9;60,3;59,8;232,5;191;35,4;35,3;194;65;31,2;31,5;184,9;58,1;13,9;14,1;137,7;88,6;14,9;15,2;145;32,8;6,2;5,4;261;46,5;17,5;16,2;299,4;189;24,6;24,6;504;209,1;34,1;32,4;622,1;194,3;48,2;44,7;678,5;226,9;65,3;54,1;643,8;253,8;77,7;49
20-29;805;663,9;336,6;337,3;669,5;596,8;286,4;286,3;532,6;280,4;178,8;179,3;512;256,5;144,3;145;360,2;176,8;88,9;88,5;207,8;113,7;52,4;52,8;171,4;81,1;33,6;33,7;127,9;65,5;24,5;24,7;111,6;50;15,9;15,3;112,7;48,7;19,5;19,4;167,6;104,4;29;30,6;213,3;101,1;36,5;38;302,4;99,9;41;46,7;382,8;115,5;67,4;74,4;492,2;163,7;110,3;108,9;436,1;182,3;171,8;167,6
30-39;972,6;723,8;424,8;424,8;722,8;572,3;335,3;336,6;569,5;426,5;214,4;214,2;461,5;312,8;159,7;160,2;402,2;219,9;122,1;122,9;208,9;77,2;63,2;63,5;186,8;155,9;46,8;46,4;141,7;117,9;35,9;35,8;117;81,5;31,3;31,8;110,8;80,1;26,2;26,3;177,5;120,5;35,2;36;226,7;105,1;48,5;51,4;287,6;137,7;61,4;80,9;332,7;107,5;76,5;107,1;302,5;91;97,9;98,2;263,4;90,8;87,6;93,8
40-49;1044,4;1161,9;512,9;513,4;842,1;689,7;413,4;413,4;600,7;485,2;262,8;262,8;500,8;371,5;204,5;204,5;371,1;258,1;159,7;160,1;253,4;207;84,7;85;183,5;170,1;60,5;60,6;153,5;143,7;42,7;42,9;128,2;71,1;32,5;32,8;102,1;46;25,2;25,4;144,7;154,7;34,1;34,3;221,8;205,2;55,1;54,9;330,2;204,1;72,9;72,3;308,1;219,1;56;56,6;286,1;169,5;61,1;54,3;273,5;133,3;47,1;51,2
50-59;718,1;686,6;340,2;339,9;609;342;271,9;271,8;398,6;438;192;191,9;365,5;198,6;154,5;154,6;223,9;279,7;113,6;113,8;126,6;103,3;54,6;54,6;108,9;58,5;41,8;41,4;140,4;54,6;28,5;28,3;90,6;65,9;21,2;21,2;81,4;59,4;17,3;17,1;131,3;159,1;25,3;24,7;161,9;80,4;38,5;38,4;217,4;214,9;40;39,9;206,5;155,8;38,7;38,3;206,6;173,2;32,7;32,3;191,5;152,9;28,3;28,5
60-64;621,4;383,9;288,1;288,3;326,6;303,5;218;218,1;351,9;78,8;173,5;173,7;259,2;157;141,5;141,6;173,8;304;105,5;105,6;139,5;0;53,3;53,4;94,3;273,2;32,4;32,5;82,7;319,7;21,8;21,9;65,7;115,6;15,8;15,8;59,6;106,2;20;20,1;112,5;149,3;24,3;24,4;84,6;0;29,5;29,7;119,4;78;29;28,9;132,7;218,3;29,4;29,3;135,4;68,3;27;27;83,7;75,3;19,1;18,8
65-69;337,9;310,6;267,4;267,5;275,3;366,3;206,8;206,8;152,5;255,1;156,6;156,6;207,3;385,1;132,1;132,2;103;128,9;93,9;94;71;361,4;49,6;49,6;86,3;0;35,2;34,9;62,3;216,2;24,1;24,2;61,8;196,9;16,6;16,7;30,6;88,7;13,4;13,4;68,2;83,4;16,3;16,4;82,5;0;23,9;23,9;117,9;138,6;25,8;25,6;65,3;228,6;31,4;31,6;57,2;0;19,4;18,8;35,2;35,4;20,7;20,9
