Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0
6-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-15;1,7;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,7;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20-29;0;0;0;0;0,7;0;0;0;0,7;0;0;0;0,6;0;0;0;1,3;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0,6;0;0;0;0,6;0;0;0;0;0;0;0;1,1;0;0;0;0;1,3;0;0;1,6;0;0;0;0;0;0;0;0,5;0;0;0
30-39;2,5;0;0;0;0,8;0;0,2;0,2;1,5;0;0;0;1,5;0;0,2;0,2;0,7;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1,9;0;0;0;1,2;0;0;0;0;0;0;0;0,5;0;0;0
40-49;5,7;0;0,2;0,2;1,4;0;0,2;0,2;1,3;16,1;0,2;0,2;4;0;0,2;0,2;2,6;0;0;0;0;0;0,2;0,2;2,6;0;0;0;0;0;0;0;1,3;0;0;0;0;0;0;0;3,7;0;0;0;1,2;0;0;0;0;0;0;0;3,4;0;0;0;2,2;0;0,2;0,2;2,1;0;0,2;0,4
50-59;6;0;0,3;0,3;5,8;0;0,1;0,1;3,9;0;0,3;0,3;0;0;0,1;0,1;1,9;0;0;0;3,8;0;0;0;3,7;0;0;0;1,9;0;0,1;0,1;1,8;0;0,1;0,1;3,6;0;0;0;1,8;0;0;0;7,1;0;0;0;1,7;0;0;0;5,1;0;0;0;1,7;0;0;0;3,2;0;0;0
60-64;18,8;0;0,3;0,3;0;0;0;0;24,2;0;0,3;0,3;6;0;0,3;0,3;6;0;0,6;0,6;0;0;0;0;0;0;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;11,2;0;0,3;0,3;5,5;0;0;0;0;34,6;0,3;0,3;16;0;0;0;0;0;0;0
65-69;17,2;0;1;1;0;0;0,7;0,7;25,1;0;0,3;0,3;8,3;0;1;1;0;0;0,7;0,7;0;0;0;0;8,2;0;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;15,8;0;0,3;0,3;15,6;0;0;0;15,3;0;0;0;7,5;0;0,3;0,3;0;0;0,3;0,3;0;0;0,3;0,3
70-79;12,7;0;2;2;6,2;0;1,5;1,5;12,4;0;1,1;1,1;12,3;0;1,1;1,1;6,1;0;0,2;0,2;0;0;1,1;1,1;6;0;0;0;0;0;0,5;0,5;11,9;0;0,5;0,5;0;0;0,2;0,2;0;0;0;0;0;0;0,4;0,4;16,9;0;0,4;0,4;5,6;0;0,5;0,5;0;0;0,4;0,4;0;0;0;0
80+;0;0;1,9;1,9;0;0;0,8;0,8;11,3;0;0,8;0,8;0;0;0,4;0,4;0;0;0,8;0,8;11;0;0,4;0,4;0;0;0,7;0,7;0;0;0;0;0;0;0;0;0;0;0,4;0,4;0;0;0,4;0,4;0;0;0,4;0,4;20,3;0;0;0;0;0;0;0;0;0;0,4;0,4;0;0;0,4;0,4
12+;3,4;0;0,5;0,5;1,3;0;0,4;0,4;2,9;1,8;0,3;0,3;1,8;0;0,3;0,3;1,4;0;0,2;0,2;0,9;0;0,2;0,2;1;0;0,1;0,1;0,3;1,3;0,1;0,1;1;0;0,1;0,1;0,5;0;0,1;0,1;1;0;0;0,1;2,2;0;0,1;0,1;1,8;0,3;0,1;0,1;1,8;0,2;0,1;0,2;0,8;0;0,1;0,2;0,7;0;0,1;0,1
Alle;1,5;0;0,5;0,5;0,6;0;0,4;0,4;1,3;1,8;0,3;0,3;0,9;0;0,3;0,3;0,7;0;0,2;0,2;0,4;0;0,2;0,2;0,5;0;0,1;0,1;0,2;1,3;0,1;0,1;0,5;0;0,1;0,1;0,2;0;0,1;0,1;0,4;0;0;0,1;1;0;0,1;0,1;0,9;0,3;0,1;0,1;1;0,2;0,1;0,2;0,4;0;0,1;0,2;0,4;0;0,1;0,1
