"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
0-9;K;57810;45392;0;298389;19.4;15.2;0.0
0-9;M;61629;48443;1;315030;19.6;15.4;0.0
10-19;K;263599;253782;45528;329341;80.0;77.1;13.8
10-19;M;275050;264096;43442;345732;79.6;76.4;12.6
20-29;K;322832;316691;227193;384273;84.0;82.4;59.1
20-29;M;328113;319160;206784;399502;82.1;79.9;51.8
30-39;K;302140;296658;198768;353276;85.5;84.0;56.3
30-39;M;302119;295142;189274;367443;82.2;80.3;51.5
40-49;K;335490;332944;285486;366219;91.6;90.9;78.0
40-49;M;326915;323879;270359;366328;89.2;88.4;73.8
50-59;K;378053;376486;349546;401713;94.1;93.7;87.0
50-59;M;379632;377980;348105;405591;93.6;93.2;85.8
60-69;K;329658;328880;316970;343490;96.0;95.7;92.3
60-69;M;320129;319294;306829;333252;96.1;95.8;92.1
70-79;K;298322;297880;291970;306182;97.4;97.3;95.4
70-79;M;269451;269106;263722;276094;97.6;97.5;95.5
80-89;K;139368;139131;135992;143131;97.4;97.2;95.0
80-89;M;104118;103993;102019;106399;97.9;97.7;95.9
90+;K;30590;30475;29400;31837;96.1;95.7;92.3
90+;M;13067;13037;12669;13416;97.4;97.2;94.4
