Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     377 (49);     393 (51);     770
10-19;     941 (51);     898 (49);   1.839
20-29;   1.953 (55);   1.607 (45);   3.560
30-39;   1.617 (54);   1.356 (46);   2.973
40-49;   1.843 (56);   1.426 (44);   3.269
50-59;   1.848 (56);   1.459 (44);   3.307
60-69;     946 (48);   1.013 (52);   1.959
70-79;     625 (46);     727 (54);   1.352
80-89;     526 (57);     396 (43);     922
90+;     207 (72);      79 (28);     286
I alt;  10.883 (54);   9.354 (46);  20.237
