Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   6.482 (48);   7.017 (52);  13.499
10-19;  15.381 (49);  16.123 (51);  31.504
20-29;  19.862 (52);  18.665 (48);  38.527
30-39;  14.307 (51);  13.527 (49);  27.834
40-49;  16.131 (54);  13.846 (46);  29.977
50-59;  15.452 (52);  14.160 (48);  29.612
60-69;   8.000 (49);   8.323 (51);  16.323
70-79;   5.048 (49);   5.202 (51);  10.250
80-89;   3.188 (58);   2.315 (42);   5.503
90+;   1.255 (71);     515 (29);   1.770
I alt; 105.106 (51);  99.693 (49); 204.799
