Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     815 (50);     819 (50);   1.634
10-19;   2.345 (49);   2.399 (51);   4.744
20-29;   3.710 (52);   3.468 (48);   7.178
30-39;   2.677 (52);   2.505 (48);   5.182
40-49;   3.076 (54);   2.658 (46);   5.734
50-59;   2.978 (52);   2.745 (48);   5.723
60-69;   1.506 (48);   1.644 (52);   3.150
70-79;   1.004 (48);   1.094 (52);   2.098
80-89;     680 (56);     526 (44);   1.206
90+;     251 (71);     103 (29);     354
I alt;  19.042 (51);  17.961 (49);  37.003
