Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  16.878 (49);  17.782 (51);  34.660
10-19;  33.899 (49);  34.843 (51);  68.742
20-29;  40.604 (49);  42.218 (51);  82.822
30-39;  28.333 (50);  27.989 (50);  56.322
40-49;  29.272 (53);  26.374 (47);  55.646
50-59;  24.621 (51);  24.094 (49);  48.715
60-69;  12.662 (49);  13.262 (51);  25.924
70-79;   7.812 (50);   7.965 (50);  15.777
80-89;   4.164 (57);   3.161 (43);   7.325
90+;   1.487 (70);     628 (30);   2.115
I alt; 199.732 (50); 198.316 (50); 398.048
