Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.485 (48);  10.270 (52);  19.755
10-19;  20.427 (49);  21.564 (51);  41.991
20-29;  25.348 (51);  24.687 (49);  50.035
30-39;  18.626 (51);  18.223 (49);  36.849
40-49;  20.422 (53);  18.325 (47);  38.747
50-59;  18.996 (51);  18.284 (49);  37.280
60-69;   9.705 (48);  10.336 (52);  20.041
70-79;   5.877 (49);   6.033 (51);  11.910
80-89;   3.465 (58);   2.530 (42);   5.995
90+;   1.313 (71);     549 (29);   1.862
I alt; 133.664 (51); 130.801 (49); 264.465
