Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   3.082 (49);   3.267 (51);   6.349
10-19;   9.301 (48);   9.983 (52);  19.284
20-29;  11.183 (50);  11.114 (50);  22.297
30-39;   7.733 (50);   7.631 (50);  15.364
40-49;   8.896 (52);   8.076 (48);  16.972
50-59;   8.288 (51);   7.997 (49);  16.285
60-69;   4.030 (48);   4.383 (52);   8.413
70-79;   2.482 (49);   2.566 (51);   5.048
80-89;   1.343 (56);   1.052 (44);   2.395
90+;     490 (71);     198 (29);     688
I alt;  56.828 (50);  56.267 (50); 113.095
