Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 14-2022;1045795;86302;4753664;1143321;3608730;510775;26155;2645099;395974;2248637;868;66;15737;1341;14395;10345;1182;94926;15007;79850;5145;490;68785;7222;61539;10982;1263;103547;16198;87265;208;23;821;209;612;85;5;668;60;608
Uge 13-2022;1045688;86760;4754371;1148499;3603886;519527;26922;2743858;412561;2330727;1179;91;20244;1732;18507;10818;1141;112025;16309;95654;5769;509;86098;8708;77367;11677;1223;123103;17696;105342;255;30;936;253;682;87;9;810;84;726
Uge 12-2022;1045255;87302;4754706;1154206;3598193;533414;28014;2884340;438327;2445315;1889;126;31335;3027;28306;14068;1431;146799;21832;124890;7917;654;117586;12560;104994;15281;1534;162689;23845;138759;345;35;1472;389;1083;126;12;984;93;891
Uge 11-2022;1044804;88114;4754825;1160904;3590947;559925;30234;3086980;483863;2602189;2933;188;44979;4840;40133;17763;1832;191065;29128;161844;10366;893;158145;17903;140208;19449;2009;214381;32206;182074;564;59;2065;570;1494;173;16;1223;130;1093
Uge 10-2022;1044380;89042;4754748;1168767;3581685;605315;34186;3341060;560107;2779533;5334;365;70272;9346;60915;24739;2445;272581;43073;229323;16001;1311;233311;29004;204222;27660;2738;313215;48831;264177;969;89;3311;1059;2249;207;9;1461;169;1292
Uge 09-2022;1044164;90494;4754341;1177221;3571781;655979;39293;3558532;641736;2914818;8628;605;95372;14134;81209;29613;2685;327568;49461;277835;21363;1683;289678;36632;252903;33741;3054;384206;57313;326572;1419;106;4319;1469;2840;303;21;1757;234;1522
Uge 08-2022;1043975;92629;4753071;1190811;3554208;716630;47404;3775563;737924;3034212;13323;920;129249;21510;107665;39292;3431;420986;65136;355404;30437;2295;379764;51599;327901;45341;3991;503726;76457;426737;2010;194;6094;2040;4038;389;34;2033;326;1704
Uge 07-2022;1043869;94987;4751454;1211980;3527163;777526;57440;3962046;840224;3115936;25511;1816;198518;41061;157226;62735;5319;572355;102802;468477;51182;3938;523546;86010;436768;74133;6253;699679;123227;575124;3356;275;9198;3451;5715;550;39;2164;407;1755
Uge 06-2022;1043939;99934;4746919;1256310;3468900;817736;66960;4072161;930821;3128680;43860;3509;250025;70896;178327;100966;9165;735044;166501;565330;84500;7151;674677;143660;528559;120005;10798;909612;199763;705908;5496;411;12068;5102;6893;630;46;2014;508;1499
Uge 05-2022;1044880;106460;4740525;1359966;3343523;844405;75807;4167572;1072277;3069657;51725;4614;223483;82383;139109;119711;11726;750651;201823;541992;103226;9600;694546;180010;508708;144645;14135;944948;247444;688884;5615;407;9909;4602;5182;599;44;1655;468;1174
