Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     397 (49);     414 (51);     811
10-19;   1.029 (51);     992 (49);   2.021
20-29;   2.087 (55);   1.725 (45);   3.812
30-39;   1.703 (54);   1.441 (46);   3.144
40-49;   1.939 (56);   1.501 (44);   3.440
50-59;   1.937 (56);   1.544 (44);   3.481
60-69;     990 (48);   1.062 (52);   2.052
70-79;     645 (46);     762 (54);   1.407
80-89;     533 (57);     404 (43);     937
90+;     209 (73);      79 (27);     288
I alt;  11.469 (54);   9.924 (46);  21.393
