Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.688 (49);   1.785 (51);   3.473
10-19;   4.927 (48);   5.257 (52);  10.184
20-29;   6.481 (51);   6.348 (49);  12.829
30-39;   4.573 (51);   4.457 (49);   9.030
40-49;   5.231 (52);   4.817 (48);  10.048
50-59;   4.995 (51);   4.785 (49);   9.780
60-69;   2.484 (48);   2.721 (52);   5.205
70-79;   1.524 (47);   1.699 (53);   3.223
80-89;     880 (56);     701 (44);   1.581
90+;     326 (72);     129 (28);     455
I alt;  33.109 (50);  32.699 (50);  65.808
