Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.646 (48);  10.463 (52);  20.109
10-19;  20.966 (49);  22.140 (51);  43.106
20-29;  25.892 (51);  25.371 (49);  51.263
30-39;  18.907 (50);  18.589 (50);  37.496
40-49;  20.797 (53);  18.663 (47);  39.460
50-59;  19.227 (51);  18.577 (49);  37.804
60-69;   9.823 (48);  10.444 (52);  20.267
70-79;   5.902 (49);   6.064 (51);  11.966
80-89;   3.473 (58);   2.533 (42);   6.006
90+;   1.315 (70);     551 (30);   1.866
I alt; 135.948 (50); 133.395 (50); 269.343
