Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.005 (48);  14.906 (52);  28.911
10-19;  30.319 (49);  31.451 (51);  61.770
20-29;  37.610 (49);  39.422 (51);  77.032
30-39;  25.229 (50);  25.220 (50);  50.449
40-49;  26.027 (53);  23.377 (47);  49.404
50-59;  22.400 (51);  21.820 (49);  44.220
60-69;  11.067 (49);  11.751 (51);  22.818
70-79;   6.522 (49);   6.686 (51);  13.208
80-89;   3.730 (57);   2.772 (43);   6.502
90+;   1.420 (71);     592 (29);   2.012
I alt; 178.329 (50); 177.997 (50); 356.326
