Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.406 (48);  11.234 (52);  21.640
10-19;  23.379 (49);  24.709 (51);  48.088
20-29;  28.828 (50);  28.940 (50);  57.768
30-39;  20.310 (50);  20.179 (50);  40.489
40-49;  22.365 (52);  20.263 (48);  42.628
50-59;  20.379 (51);  19.861 (49);  40.240
60-69;  10.170 (48);  10.870 (52);  21.040
70-79;   5.978 (49);   6.147 (51);  12.125
80-89;   3.496 (58);   2.563 (42);   6.059
90+;   1.322 (70);     557 (30);   1.879
I alt; 146.633 (50); 145.323 (50); 291.956
