Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     971 (49);     996 (51);   1.967
10-19;   2.893 (49);   3.058 (51);   5.951
20-29;   4.350 (51);   4.097 (49);   8.447
30-39;   3.108 (51);   2.952 (49);   6.060
40-49;   3.500 (53);   3.123 (47);   6.623
50-59;   3.394 (52);   3.158 (48);   6.552
60-69;   1.699 (47);   1.888 (53);   3.587
70-79;   1.122 (48);   1.216 (52);   2.338
80-89;     720 (56);     558 (44);   1.278
90+;     265 (71);     106 (29);     371
I alt;  22.022 (51);  21.152 (49);  43.174
