"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90551;0.0;0.0
0-2;M;1;0;95590;0.0;0.0
3-5;K;3;1;91058;0.0;0.0
3-5;M;5;2;96215;0.0;0.0
6-11;K;1049;10;179580;0.6;0.0
6-11;M;1097;12;188898;0.6;0.0
12-15;K;110625;100657;143351;77.2;70.2
12-15;M;116282;105914;150964;77.0;70.2
16-19;K;121444;117963;137057;88.6;86.1
16-19;M;123741;119264;142228;87.0;83.9
20-39;K;602075;573919;732248;82.2;78.4
20-39;M;607881;579523;760982;79.9;76.2
40-64;K;885070;875017;952288;92.9;91.9
40-64;M;875487;864722;954351;91.7;90.6
65-79;K;449980;448726;464772;96.8;96.5
65-79;M;413373;412171;426679;96.9;96.6
80+;K;153626;153053;159462;96.3;96.0
80+;M;103389;103097;106515;97.1;96.8
