Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 48-2021;1313055;109626;4452068;3940640;489876;1198701;89619;4208244;3720778;469576;14772;928;18508;17742;688;227266;18454;785393;681149;101143;208905;15182;740232;642421;95235;303069;23662;948240;818928;125492;231;21;126;114;11;219;16;371;316;53
Uge 47-2021;1332500;102171;4440791;4022926;397943;1219540;83818;4205354;3807463;381388;12810;717;15289;14760;458;225159;16776;764268;679264;82153;207713;13937;722104;642346;77346;293483;20858;916216;811242;101513;209;12;99;93;6;220;13;326;300;26
Uge 46-2021;1355590;89029;4431066;4089182;324978;1241235;73765;4201737;3876010;311713;12526;700;14727;14273;395;218617;14333;712360;648418;61682;201626;12127;674009;613817;58266;283555;17645;853262;774996;75491;202;6;84;80;3;210;9;326;294;32
Uge 45-2021;1381417;72507;4422036;4161971;244438;1264971;60099;4196679;3949130;234573;10465;435;11700;11472;195;203671;10563;669776;626278;41456;188147;9105;634091;593215;39123;260176;12742;797033;744834;49700;174;7;61;60;1;143;15;290;268;22
Uge 44-2021;1392622;68117;4415453;4238358;160646;1276451;56291;4193012;4025056;154217;7602;250;8016;7883;108;150171;7108;527442;505571;20064;139476;6127;499489;479107;18845;193703;8565;629712;603983;23520;130;5;39;36;3;160;9;205;191;11
Uge 43-2021;1401181;67803;4407988;4274704;115395;1285233;55997;4188124;4062614;110473;5200;177;6421;6340;66;106708;5879;433011;419838;11623;98630;5099;410265;398102;10825;127381;6827;494888;479871;13209;108;2;39;38;1;114;3;181;166;15
Uge 42-2021;1406906;69606;4400739;4293905;84971;1291350;57466;4183133;4083530;81013;3749;142;4714;4654;45;85145;4959;326678;318169;7025;78798;4347;310230;302414;6499;98621;5639;362710;353291;7745;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1411916;74469;4391219;4296355;67636;1296755;61687;4175977;4088375;64182;2501;83;2395;2370;16;88607;5374;230660;224468;4037;81855;4722;217691;212130;3675;104405;6168;259317;252455;4426;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417401;80713;4379779;4298884;42161;1303223;67239;4167478;4093895;40010;2216;90;1691;1672;6;62162;3882;169380;165624;2058;57715;3484;160218;156845;1883;73090;4443;189726;185558;2243;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1423499;91701;4363691;4296296;12558;1311175;77004;4155345;4095356;11978;1716;90;1173;1154;5;54298;3760;157541;154996;524;50415;3348;149286;147007;490;63819;4300;175200;172342;575;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1431279;110064;4337773;4263093;877;1321846;93635;4134558;4068157;819;1431;77;965;952;0;54981;4762;155705;153052;51;51358;4299;147686;145295;43;63902;5400;171133;168120;56;16;0;6;6;0;32;2;54;54;0
Uge 37-2021;1441253;133664;4304652;4195154;678;1334651;115228;4107272;4007961;632;1294;74;781;763;0;58512;6527;169403;165205;52;54469;5935;160652;156805;43;67615;7454;186768;182038;56;17;0;11;10;0;38;5;44;43;0
Uge 36-2021;1454372;168489;4257213;4063801;599;1350229;147769;4066412;3887764;556;1908;173;1101;1056;0;75153;10275;202565;192930;44;70185;9395;192655;183611;36;87015;11753;225095;214238;55;40;2;8;8;0;85;9;59;57;0
Uge 35-2021;1474145;232883;4174484;3869552;533;1371041;208754;3992039;3706662;494;2665;272;1475;1373;1;101461;17639;224723;205981;48;95289;16506;214154;196336;44;120738;20674;254983;233356;58;56;5;16;13;0;125;13;48;45;0
Uge 34-2021;1504025;340796;4037261;3543178;473;1400684;312128;3865645;3400347;435;3998;471;1699;1493;1;137414;31916;259073;220354;56;129217;30146;246957;210059;51;167215;38164;297615;252083;65;82;5;12;11;0;128;11;59;59;0
Uge 33-2021;1541838;512967;3827635;3257959;426;1437080;477410;3669418;3132083;390;4460;665;1663;1335;0;127282;45557;221065;175830;32;119760;43346;210998;167790;31;156800;55619;258543;204152;37;101;2;11;9;0;150;13;58;56;0
