Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  27.296 (49);  28.839 (51);  56.135
10-19;  45.231 (50);  45.867 (50);  91.098
20-29;  48.349 (49);  49.686 (51);  98.035
30-39;  37.204 (51);  35.635 (49);  72.839
40-49;  39.023 (52);  35.595 (48);  74.618
50-59;  31.126 (50);  31.130 (50);  62.256
60-69;  16.907 (49);  17.527 (51);  34.434
70-79;  10.856 (49);  11.094 (51);  21.950
80-89;   4.940 (56);   3.946 (44);   8.886
90+;   1.611 (69);     719 (31);   2.330
I alt; 262.543 (50); 260.038 (50); 522.581
