Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 52-2021;1088643;248331;4537947;3150616;1347647;955611;219496;4229125;2902372;1294335;21889;5411;91884;70545;20427;113927;36995;761735;525326;230538;100222;33296;708838;486308;217781;140934;45731;935453;639834;288439;2452;233;4373;3656;664;350;42;731;452;273
Uge 51-2021;1120351;236206;4519312;3462386;1013194;995529;209132;4229024;3218492;975592;14241;3618;58503;52356;5690;148365;49485;865401;660293;197535;134098;44989;806585;614198;186479;177628;58510;1032942;781382;242640;1027;122;2395;2154;206;314;27;489;356;124
Uge 50-2021;1202341;177247;4497152;3635921;819112;1081390;154383;4225939;3403068;788729;18902;4263;50030;46515;3190;219479;46573;920421;745935;166475;200844;41824;860972;697473;157083;292673;64232;1166892;939569;217068;747;89;1777;1645;102;283;26;473;370;100
Uge 49-2021;1273286;129991;4473880;3817089;625858;1156375;108815;4218930;3591929;601298;18020;2276;27338;25792;1352;233981;26486;844901;709892;129881;215271;22842;794375;667561;122535;316472;35679;1051937;879339;166052;344;41;431;391;39;241;17;412;349;62
Uge 48-2021;1313033;109723;4455244;3943441;490213;1198791;89721;4211339;3723508;469906;14775;929;18525;17760;686;227475;18468;786137;681787;101246;209094;15194;740934;643018;95338;303505;23680;949298;819806;125667;230;22;125;113;11;222;16;376;320;54
Uge 47-2021;1332174;102259;4443969;4025840;398172;1219318;83911;4208455;3810302;381618;12803;716;15302;14772;459;224928;16765;764559;679524;82180;207487;13925;722388;642599;77373;293207;20851;916561;811550;101546;208;12;100;94;6;219;14;327;301;26
Uge 46-2021;1355346;89083;4434226;4092148;325156;1241088;73826;4204821;3878904;311893;12514;698;14741;14286;396;218408;14317;712590;648620;61712;201421;12113;674230;614010;58296;283304;17630;853540;775240;75528;201;7;84;80;3;210;8;328;296;32
Uge 45-2021;1381250;72543;4425201;4164984;244563;1264898;60143;4199767;3952069;234703;10460;435;11706;11478;195;203480;10547;669989;626478;41468;187960;9088;634297;593407;39136;259952;12725;797281;745070;49712;174;7;61;60;1;145;15;290;268;22
Uge 44-2021;1392493;68151;4418617;4241407;160744;1276413;56330;4196104;4028031;154320;7605;250;8017;7884;108;150020;7106;527589;505714;20069;139326;6126;499636;479251;18850;193518;8562;629897;604166;23526;130;5;39;36;3;160;9;205;191;11
Uge 43-2021;1401119;67850;4411169;4277777;115475;1285257;56047;4191234;4065614;110557;5195;177;6427;6346;66;106613;5871;433129;419962;11617;98536;5091;410381;398221;10822;127273;6818;495020;480010;13203;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1406884;69654;4403921;4296970;85036;1291418;57513;4186247;4086524;81083;3745;142;4718;4658;45;85049;4955;326793;318286;7023;78706;4342;310340;302524;6498;98513;5637;362838;353422;7742;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1411951;74525;4394380;4299399;67693;1296877;61743;4179069;4091348;64244;2502;82;2396;2371;16;88528;5366;230752;224564;4035;81776;4715;217779;212223;3672;104324;6157;259419;252561;4424;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417474;80783;4382917;4301894;42209;1303375;67312;4170549;4096838;40063;2216;91;1691;1672;6;62120;3881;169431;165670;2061;57673;3483;160267;156889;1886;73041;4444;189786;185612;2246;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1423640;91792;4366837;4299308;12591;1311392;77098;4158423;4098298;12016;1715;90;1174;1155;5;54263;3762;157575;155032;524;50380;3350;149317;147040;490;63785;4303;175238;172382;575;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1431439;110201;4340873;4266073;902;1322079;93771;4137595;4071078;849;1433;77;966;953;0;54947;4756;155748;153097;47;51324;4295;147723;145333;42;63868;5396;171180;168169;52;16;0;6;6;0;32;2;54;54;0
Uge 37-2021;1441432;133837;4307698;4198062;691;1334898;115400;4110259;4010813;650;1294;74;781;763;0;58474;6528;169438;165242;50;54432;5933;160687;156840;43;67581;7453;186806;182079;53;17;0;11;10;0;38;5;44;43;0
