Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     790 (50);     791 (50);   1.581
10-19;   2.246 (49);   2.306 (51);   4.552
20-29;   3.610 (52);   3.347 (48);   6.957
30-39;   2.579 (52);   2.408 (48);   4.987
40-49;   2.977 (54);   2.566 (46);   5.543
50-59;   2.887 (52);   2.653 (48);   5.540
60-69;   1.474 (48);   1.610 (52);   3.084
70-79;     985 (48);   1.073 (52);   2.058
80-89;     673 (56);     519 (44);   1.192
90+;     248 (71);     102 (29);     350
I alt;  18.469 (52);  17.375 (48);  35.844
