Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     709 (49);     731 (51);   1.440
10-19;   2.043 (49);   2.109 (51);   4.152
20-29;   3.341 (52);   3.052 (48);   6.393
30-39;   2.407 (52);   2.182 (48);   4.589
40-49;   2.818 (55);   2.351 (45);   5.169
50-59;   2.702 (53);   2.414 (47);   5.116
60-69;   1.371 (48);   1.487 (52);   2.858
70-79;     894 (47);   1.015 (53);   1.909
80-89;     637 (56);     500 (44);   1.137
90+;     241 (71);      97 (29);     338
I alt;  17.163 (52);  15.938 (48);  33.101
