Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 48 2021;0-59;Covid-19 diagnose;66,2
uge 49 2021;0-59;Covid-19 diagnose;64,6
uge 50 2021;0-59;Covid-19 diagnose;66,7
uge 51 2021;0-59;Covid-19 diagnose;59,6
uge 52 2021;0-59;Covid-19 diagnose;56,3
uge 1 2022;0-59;Covid-19 diagnose;52,3
uge 2 2022;0-59;Covid-19 diagnose;54,6
uge 3 2022;0-59;Covid-19 diagnose;49,4
uge 48 2021;60+;Covid-19 diagnose;80,3
uge 49 2021;60+;Covid-19 diagnose;78,9
uge 50 2021;60+;Covid-19 diagnose;77,5
uge 51 2021;60+;Covid-19 diagnose;81,8
uge 52 2021;60+;Covid-19 diagnose;78,7
uge 1 2022;60+;Covid-19 diagnose;72,4
uge 2 2022;60+;Covid-19 diagnose;73,0
uge 3 2022;60+;Covid-19 diagnose;71,1
uge 48 2021;0-59;Luftvejs- eller obsdiagnose;3,7
uge 49 2021;0-59;Luftvejs- eller obsdiagnose;5,3
uge 50 2021;0-59;Luftvejs- eller obsdiagnose;3,8
uge 51 2021;0-59;Luftvejs- eller obsdiagnose;3,1
uge 52 2021;0-59;Luftvejs- eller obsdiagnose;4,4
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;4,0
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,2
uge 3 2022;0-59;Luftvejs- eller obsdiagnose;5,6
uge 48 2021;60+;Luftvejs- eller obsdiagnose;2,3
uge 49 2021;60+;Luftvejs- eller obsdiagnose;4,2
uge 50 2021;60+;Luftvejs- eller obsdiagnose;4,2
uge 51 2021;60+;Luftvejs- eller obsdiagnose;2,2
uge 52 2021;60+;Luftvejs- eller obsdiagnose;2,6
uge 1 2022;60+;Luftvejs- eller obsdiagnose;4,2
uge 2 2022;60+;Luftvejs- eller obsdiagnose;3,2
uge 3 2022;60+;Luftvejs- eller obsdiagnose;1,6
uge 48 2021;0-59;Anden diagnose;30,1
uge 49 2021;0-59;Anden diagnose;30,1
uge 50 2021;0-59;Anden diagnose;29,4
uge 51 2021;0-59;Anden diagnose;37,3
uge 52 2021;0-59;Anden diagnose;39,3
uge 1 2022;0-59;Anden diagnose;43,8
uge 2 2022;0-59;Anden diagnose;41,3
uge 3 2022;0-59;Anden diagnose;45,0
uge 48 2021;60+;Anden diagnose;17,3
uge 49 2021;60+;Anden diagnose;16,9
uge 50 2021;60+;Anden diagnose;18,3
uge 51 2021;60+;Anden diagnose;16,0
uge 52 2021;60+;Anden diagnose;18,7
uge 1 2022;60+;Anden diagnose;23,3
uge 2 2022;60+;Anden diagnose;23,8
uge 3 2022;60+;Anden diagnose;27,3
