Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.413 (48);  10.172 (52);  19.585
10-19;  20.164 (49);  21.289 (51);  41.453
20-29;  25.098 (51);  24.381 (49);  49.479
30-39;  18.500 (51);  18.034 (49);  36.534
40-49;  20.279 (53);  18.160 (47);  38.439
50-59;  18.870 (51);  18.147 (49);  37.017
60-69;   9.663 (48);  10.263 (52);  19.926
70-79;   5.863 (49);   6.013 (51);  11.876
80-89;   3.462 (58);   2.529 (42);   5.991
90+;   1.312 (71);     547 (29);   1.859
I alt; 132.624 (51); 129.535 (49); 262.159
