Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     298 (49);     307 (51);     605
10-19;     685 (51);     652 (49);   1.337
20-29;   1.607 (57);   1.237 (43);   2.844
30-39;   1.389 (55);   1.119 (45);   2.508
40-49;   1.607 (57);   1.207 (43);   2.814
50-59;   1.620 (56);   1.253 (44);   2.873
60-69;     827 (48);     897 (52);   1.724
70-79;     568 (46);     657 (54);   1.225
80-89;     498 (57);     378 (43);     876
90+;     201 (72);      77 (28);     278
I alt;   9.300 (54);   7.784 (46);  17.084
