Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     124 (53);     111 (47);     235
10-19;     262 (54);     221 (46);     483
20-29;     924 (62);     565 (38);   1.489
30-39;     961 (62);     601 (38);   1.562
40-49;   1.175 (60);     775 (40);   1.950
50-59;   1.210 (60);     810 (40);   2.020
60-69;     638 (49);     651 (51);   1.289
70-79;     427 (45);     516 (55);     943
80-89;     431 (57);     325 (43);     756
90+;     175 (73);      66 (27);     241
I alt;   6.327 (58);   4.641 (42);  10.968
