Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.362 (48);  11.193 (52);  21.555
10-19;  23.270 (49);  24.583 (51);  47.853
20-29;  28.655 (50);  28.723 (50);  57.378
30-39;  20.217 (50);  20.059 (50);  40.276
40-49;  22.278 (52);  20.165 (48);  42.443
50-59;  20.332 (51);  19.797 (49);  40.129
60-69;  10.154 (48);  10.859 (52);  21.013
70-79;   5.972 (49);   6.142 (51);  12.114
80-89;   3.491 (58);   2.556 (42);   6.047
90+;   1.321 (70);     557 (30);   1.878
I alt; 146.052 (50); 144.634 (50); 290.686
