Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     939 (49);     971 (51);   1.910
10-19;   2.780 (49);   2.936 (51);   5.716
20-29;   4.262 (52);   4.000 (48);   8.262
30-39;   3.032 (51);   2.877 (49);   5.909
40-49;   3.422 (53);   3.048 (47);   6.470
50-59;   3.326 (52);   3.099 (48);   6.425
60-69;   1.662 (47);   1.854 (53);   3.516
70-79;   1.109 (48);   1.203 (52);   2.312
80-89;     714 (56);     552 (44);   1.266
90+;     265 (71);     106 (29);     371
I alt;  21.511 (51);  20.646 (49);  42.157
