Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.601 (48);   9.304 (52);  17.905
10-19;  18.414 (49);  19.374 (51);  37.788
20-29;  23.273 (51);  22.327 (49);  45.600
30-39;  17.209 (51);  16.553 (49);  33.762
40-49;  18.910 (53);  16.760 (47);  35.670
50-59;  17.783 (51);  16.838 (49);  34.621
60-69;   9.127 (49);   9.638 (51);  18.765
70-79;   5.680 (49);   5.823 (51);  11.503
80-89;   3.413 (58);   2.500 (42);   5.913
90+;   1.303 (71);     544 (29);   1.847
I alt; 123.713 (51); 119.661 (49); 243.374
