Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 50-2021;1202402;177144;4496066;3635050;818942;1081387;154291;4224902;3402236;788565;18435;4159;48466;45045;3108;215732;45912;905924;733166;164914;197470;41256;847543;685645;155602;286105;62959;1144170;919668;214497;721;84;1718;1591;97;282;26;468;366;99
Uge 49-2021;1273600;129922;4472806;3816166;625721;1156633;108756;4217898;3591042;601167;18020;2276;27332;25786;1352;234072;26482;844817;709823;129868;215355;22837;794297;667500;122520;316590;35669;1051834;879250;166040;344;41;431;391;39;240;17;412;349;62
Uge 48-2021;1313271;109679;4454149;3942477;490090;1198980;89683;4210286;3722581;469787;14776;929;18523;17757;686;227561;18464;786062;681716;101241;209175;15191;740863;642953;95331;303605;23676;949206;819720;125660;230;22;125;113;11;222;16;376;320;54
Uge 47-2021;1332395;102226;4442872;4024843;398080;1219493;83883;4207397;3809342;381527;12804;717;15300;14770;459;224991;16769;764502;679479;82170;207546;13930;722335;642558;77363;293281;20855;916489;811491;101535;208;12;100;94;6;220;13;327;301;26
Uge 46-2021;1355545;89056;4433145;4091141;325076;1241244;73803;4203779;3877933;311814;12523;696;14735;14281;395;218464;14320;712548;648584;61703;201475;12117;674188;613975;58286;283369;17632;853491;775197;75517;202;6;84;80;3;210;8;327;295;32
Uge 45-2021;1381429;72523;4424113;4163980;244494;1265036;60127;4198717;3951101;234634;10463;435;11703;11475;195;203548;10554;669920;626419;41459;188025;9095;634233;593354;39126;260032;12734;797199;744998;49703;174;7;61;60;1;144;15;290;268;22
Uge 44-2021;1392652;68133;4417536;4240393;160689;1276532;56317;4195059;4027053;154264;7606;250;8016;7883;108;150055;7108;527556;505686;20064;139360;6129;499603;479223;18845;193561;8564;629857;604131;23521;130;5;39;36;3;160;9;205;191;11
Uge 43-2021;1401250;67833;4410086;4276748;115433;1285349;56035;4190187;4064620;110514;5196;177;6426;6345;66;106637;5874;433107;419935;11621;98558;5094;410361;398197;10825;127300;6821;494997;479981;13207;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1407000;69633;4402843;4295941;85000;1291494;57500;4185203;4085531;81045;3747;142;4716;4656;45;85066;4960;326762;318258;7021;78722;4347;310311;302498;6496;98532;5642;362803;353390;7740;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1412055;74504;4393302;4298372;67659;1296943;61729;4178025;4090357;64208;2502;82;2396;2371;16;88551;5371;230728;224536;4037;81798;4719;217757;212197;3674;104346;6163;259393;252531;4426;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417566;80760;4381846;4300883;42177;1303429;67296;4169512;4095861;40029;2217;90;1691;1672;6;62132;3880;169417;165657;2060;57685;3482;160254;156877;1885;73055;4443;189769;185596;2245;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1423699;91760;4365768;4298298;12569;1311414;77074;4157388;4097323;11991;1715;90;1174;1155;5;54275;3762;157567;155025;523;50389;3350;149312;147036;489;63798;4303;175228;172373;574;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1431494;110152;4339821;4265066;886;1322100;93732;4136574;4070103;830;1433;77;966;953;0;54960;4762;155731;153078;49;51336;4301;147709;145318;43;63880;5402;171162;168149;54;16;0;6;6;0;32;2;54;54;0
Uge 37-2021;1441479;133769;4306675;4197077;682;1334913;115342;4109265;4009858;638;1294;74;781;763;0;58491;6526;169424;165225;52;54447;5933;160673;156825;43;67596;7451;186792;182061;56;17;0;11;10;0;38;5;44;43;0
Uge 36-2021;1454621;168624;4259188;4065684;604;1350513;147907;4068363;3889624;563;1905;173;1103;1058;0;75138;10266;202605;192969;44;70169;9387;192692;183647;36;87007;11741;225135;214277;55;40;2;8;8;0;85;9;59;57;0
Uge 35-2021;1474440;233054;4176417;3871381;535;1371369;208926;3993948;3708471;498;2666;272;1475;1373;1;101440;17638;224753;206011;47;95264;16505;214183;196367;42;120722;20673;255014;233386;57;56;5;16;13;0;125;13;48;45;0
