Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  35.572 (49);  37.545 (51);  73.117
10-19;  55.887 (50);  56.075 (50); 111.962
20-29;  58.841 (50);  59.529 (50); 118.370
30-39;  45.826 (51);  43.493 (49);  89.319
40-49;  48.314 (52);  44.731 (48);  93.045
50-59;  37.843 (50);  38.481 (50);  76.324
60-69;  20.199 (49);  21.254 (51);  41.453
70-79;  12.240 (50);  12.448 (50);  24.688
80-89;   5.326 (55);   4.321 (45);   9.647
90+;   1.710 (69);     778 (31);   2.488
I alt; 321.758 (50); 318.655 (50); 640.413
