Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.345 (48);  11.185 (52);  21.530
10-19;  23.224 (49);  24.539 (51);  47.763
20-29;  28.614 (50);  28.668 (50);  57.282
30-39;  20.193 (50);  20.030 (50);  40.223
40-49;  22.250 (52);  20.146 (48);  42.396
50-59;  20.316 (51);  19.780 (49);  40.096
60-69;  10.150 (48);  10.856 (52);  21.006
70-79;   5.971 (49);   6.141 (51);  12.112
80-89;   3.491 (58);   2.556 (42);   6.047
90+;   1.321 (70);     557 (30);   1.878
I alt; 145.875 (50); 144.458 (50); 290.333
